Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,171,9,4,0,1.0,0.692307692308,15358.0000401,15.0001049042
2,5,169,9,4,2,0.988304093567,0.692307692308,15419.0001488,14.9998664856
3,5,170,10,3,1,0.994152046784,0.769230769231,15226.9999981,14.9998664856
4,5,168,9,3,3,0.982456140351,0.75,15274.9998569,15.0001049042
5,5,169,8,4,2,0.988304093567,0.666666666667,15341.0000801,16.0000324249
6,5,169,9,3,2,0.988304093567,0.75,15404.0000439,19.9999809265
7,5,166,10,2,4,0.976470588235,0.833333333333,15309.9999428,15.0001049042
8,5,168,8,4,2,0.988235294118,0.666666666667,15322.9999542,16.0000324249
9,5,169,4,8,1,0.994117647059,0.333333333333,15365.0000095,13.9999389648
10,5,170,9,3,0,1.0,0.75,15397.0000744,15.0001049042
1,8,171,9,4,0,1.0,0.692307692308,17098.0000496,16.0000324249
2,8,169,9,4,2,0.988304093567,0.692307692308,16986.000061,16.9999599457
3,8,170,10,3,1,0.994152046784,0.769230769231,16955.0001621,16.9999599457
4,8,168,9,3,3,0.982456140351,0.75,17044.9998379,17.0001983643
5,8,169,8,4,2,0.988304093567,0.666666666667,17012.0000839,16.0000324249
6,8,169,9,3,2,0.988304093567,0.75,17099.9999046,17.0001983643
7,8,166,10,2,4,0.976470588235,0.833333333333,17013.0000114,16.9999599457
8,8,168,8,4,2,0.988235294118,0.666666666667,17226.9999981,16.9999599457
9,8,169,4,8,1,0.994117647059,0.333333333333,17065.0000572,15.0001049042
10,8,170,9,3,0,1.0,0.75,17092.9999352,16.0000324249
1,11,171,9,4,0,1.0,0.692307692308,18798.0000973,19.0000534058
2,11,169,9,4,2,0.988304093567,0.692307692308,18652.9998779,18.000125885
3,11,170,10,3,1,0.994152046784,0.769230769231,18543.9999104,17.0001983643
4,11,168,9,3,3,0.982456140351,0.75,18743.0000305,17.9998874664
5,11,169,8,4,2,0.988304093567,0.666666666667,18713.0000591,16.9999599457
6,11,169,9,3,2,0.988304093567,0.75,18842.9999352,17.0001983643
7,11,166,10,2,4,0.976470588235,0.833333333333,18690.0000572,17.9998874664
8,11,168,8,4,2,0.988235294118,0.666666666667,18758.9998245,17.0001983643
9,11,169,4,8,1,0.994117647059,0.333333333333,18787.9998684,15.0001049042
10,11,170,9,3,0,1.0,0.75,18820.0001717,16.9999599457
1,14,171,9,4,0,1.0,0.692307692308,20471.0001945,17.9998874664
2,14,169,9,4,2,0.988304093567,0.692307692308,20302.0000458,19.0000534058
3,14,170,10,3,1,0.994152046784,0.769230769231,20280.0002098,17.9998874664
4,14,168,9,3,3,0.982456140351,0.75,20396.0001469,19.0000534058
5,14,169,8,4,2,0.988304093567,0.666666666667,20417.9999828,17.9998874664
6,14,169,9,3,2,0.988304093567,0.75,20455.9998512,19.0000534058
7,14,166,10,2,4,0.976470588235,0.833333333333,20219.9997902,20.0002193451
8,14,168,8,4,2,0.988235294118,0.666666666667,20475.9998322,18.000125885
9,14,169,4,8,1,0.994117647059,0.333333333333,20499.0000725,16.0000324249
10,14,170,9,3,0,1.0,0.75,20521.0001469,16.9999599457
1,17,171,9,4,0,1.0,0.692307692308,22623.000145,19.0000534058
2,17,169,9,4,2,0.988304093567,0.692307692308,22274.0001678,19.9999809265
3,17,170,10,3,1,0.994152046784,0.769230769231,22212.0001316,19.9999809265
4,17,168,9,3,3,0.982456140351,0.75,22453.9999962,19.9999809265
5,17,169,8,4,2,0.988304093567,0.666666666667,22489.000082,19.9999809265
6,17,169,9,3,2,0.988304093567,0.75,22518.0001259,20.9999084473
7,17,166,10,2,4,0.976470588235,0.833333333333,22342.0000076,22.0000743866
8,17,168,8,4,2,0.988235294118,0.666666666667,22402.0001888,18.9998149872
9,17,169,4,8,1,0.994117647059,0.333333333333,22645.9999084,16.9999599457
10,17,170,9,3,0,1.0,0.75,22506.000042,18.9998149872
