Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,167,13,0,4,0.976608187135,1.0,7059.99994278,16.0000324249
2,5,144,13,0,27,0.842105263158,1.0,7414.00003433,19.0000534058
3,5,145,12,1,26,0.847953216374,0.923076923077,7304.99982834,19.0000534058
4,5,141,12,0,30,0.824561403509,1.0,6321.00009918,19.0000534058
5,5,148,12,0,23,0.865497076023,1.0,6845.00002861,19.0000534058
6,5,136,12,0,35,0.795321637427,1.0,7835.00003815,19.9999809265
7,5,170,0,12,0,1.0,0.0,6759.99999046,13.9999389648
8,5,166,8,4,4,0.976470588235,0.666666666667,7505.99980354,15.0001049042
9,5,142,12,0,28,0.835294117647,1.0,6255.00011444,19.0000534058
10,5,166,10,2,4,0.976470588235,0.833333333333,6252.00009346,16.0000324249
1,8,167,13,0,4,0.976608187135,1.0,8274.00016785,16.9999599457
2,8,144,13,0,27,0.842105263158,1.0,9037.00017929,23.0000019073
3,8,145,12,1,26,0.847953216374,0.923076923077,8890.0001049,22.9997634888
4,8,141,12,0,30,0.824561403509,1.0,7164.99996185,23.9999294281
5,8,148,12,0,23,0.865497076023,1.0,8006.99996948,21.999835968
6,8,136,12,0,35,0.795321637427,1.0,9641.00003242,23.9999294281
7,8,170,0,12,0,1.0,0.0,7881.00004196,13.9999389648
8,8,166,8,4,4,0.976470588235,0.666666666667,9197.0000267,16.0000324249
9,8,142,12,0,28,0.835294117647,1.0,7017.00019836,23.0000019073
10,8,166,10,2,4,0.976470588235,0.833333333333,6944.99993324,16.9999599457
1,11,167,13,0,4,0.976608187135,1.0,9537.00017929,18.9998149872
2,11,144,13,0,27,0.842105263158,1.0,10681.9999218,26.9999504089
3,11,145,12,1,26,0.847953216374,0.923076923077,10448.9998817,26.9999504089
4,11,141,12,0,30,0.824561403509,1.0,8008.99982452,28.0001163483
5,11,148,12,0,23,0.865497076023,1.0,9210.99996567,26.0000228882
6,11,136,12,0,35,0.795321637427,1.0,11526.9999504,29.000043869
7,11,170,0,12,0,1.0,0.0,9062.99996376,13.9999389648
8,11,166,8,4,4,0.976470588235,0.666666666667,10910.0000858,19.0000534058
9,11,142,12,0,28,0.835294117647,1.0,7766.99995995,26.9999504089
10,11,166,10,2,4,0.976470588235,0.833333333333,7712.99982071,18.000125885
1,14,167,13,0,4,0.976608187135,1.0,10894.9999809,21.0001468658
2,14,144,13,0,27,0.842105263158,1.0,12318.0000782,30.9998989105
3,14,145,12,1,26,0.847953216374,0.923076923077,11934.0000153,29.9999713898
4,14,141,12,0,30,0.824561403509,1.0,8825.00004768,32.0000648499
5,14,148,12,0,23,0.865497076023,1.0,10450.9999752,29.000043869
6,14,136,12,0,35,0.795321637427,1.0,13421.9999313,33.9999198914
7,14,170,0,12,0,1.0,0.0,10161.0000134,13.9999389648
8,14,166,8,4,4,0.976470588235,0.666666666667,12535.0000858,18.9998149872
9,14,142,12,0,28,0.835294117647,1.0,8537.99986839,29.9999713898
10,14,166,10,2,4,0.976470588235,0.833333333333,8493.00003052,19.9999809265
1,17,167,13,0,4,0.976608187135,1.0,12398.0000019,23.0000019073
2,17,144,13,0,27,0.842105263158,1.0,14059.0000153,36.0000133514
3,17,145,12,1,26,0.847953216374,0.923076923077,13740.0000095,34.0001583099
4,17,141,12,0,30,0.824561403509,1.0,9824.00012016,36.9999408722
5,17,148,12,0,23,0.865497076023,1.0,11756.000042,32.9999923706
6,17,136,12,0,35,0.795321637427,1.0,15516.9999599,39.0000343323
7,17,170,0,12,0,1.0,0.0,11483.9999676,13.9999389648
8,17,166,8,4,4,0.976470588235,0.666666666667,14508.0001354,20.9999084473
9,17,142,12,0,28,0.835294117647,1.0,9418.99991035,35.0000858307
10,17,166,10,2,4,0.976470588235,0.833333333333,9348.00004959,22.0000743866
