Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,159,13,0,12,0.929824561404,1.0,53995.000124,23.9999294281
2,5,153,13,0,18,0.894736842105,1.0,54611.9999886,24.9998569489
3,5,160,12,1,11,0.93567251462,0.923076923077,48055.0000668,23.9999294281
4,5,171,0,12,0,1.0,0.0,55779.9999714,18.000125885
5,5,155,12,0,16,0.906432748538,1.0,54809.9999428,24.9998569489
6,5,4,2,10,167,0.0233918128655,0.166666666667,57353.9998531,54.0001392365
7,5,170,0,12,0,1.0,0.0,56272.0000744,18.9998149872
8,5,157,10,2,13,0.923529411765,0.833333333333,57683.9997768,24.0001678467
9,5,5,1,11,165,0.0294117647059,0.0833333333333,54368.0000305,53.9999008179
10,5,148,12,0,22,0.870588235294,1.0,56159.9998474,25.0000953674
1,8,159,13,0,12,0.929824561404,1.0,78960.9999657,26.9999504089
2,8,153,13,0,18,0.894736842105,1.0,79891.9999599,30.9998989105
3,8,160,12,1,11,0.93567251462,0.923076923077,68490.0000095,26.9999504089
4,8,171,0,12,0,1.0,0.0,81929.0001392,18.9998149872
5,8,155,12,0,16,0.906432748538,1.0,80058.0000877,29.000043869
6,8,4,2,10,167,0.0233918128655,0.166666666667,84657.0000648,82.0000171661
7,8,170,0,12,0,1.0,0.0,82506.9999695,18.000125885
8,8,157,10,2,13,0.923529411765,0.833333333333,84229.0000916,26.9999504089
9,8,5,1,11,165,0.0294117647059,0.0833333333333,79161.0000134,78.9999961853
10,8,148,12,0,22,0.870588235294,1.0,82519.9999809,30.9998989105
1,11,159,13,0,12,0.929824561404,1.0,106950.000048,33.9999198914
2,11,153,13,0,18,0.894736842105,1.0,108164.999962,36.9999408722
3,11,160,12,1,11,0.93567251462,0.923076923077,91852.9999256,31.0001373291
4,11,171,0,12,0,1.0,0.0,111005.999804,19.0000534058
5,11,155,12,0,16,0.906432748538,1.0,108046.000004,34.0001583099
6,11,4,2,10,167,0.0233918128655,0.166666666667,115148.000002,112.999916077
7,11,170,0,12,0,1.0,0.0,112253.999949,19.0000534058
8,11,157,10,2,13,0.923529411765,0.833333333333,114970.999956,32.0000648499
9,11,5,1,11,165,0.0294117647059,0.0833333333333,107223.00005,112.999916077
10,11,148,12,0,22,0.870588235294,1.0,112582.000017,38.0001068115
1,14,159,13,0,12,0.929824561404,1.0,129604.000092,36.0000133514
2,14,153,13,0,18,0.894736842105,1.0,130878.000021,40.9998893738
3,14,160,12,1,11,0.93567251462,0.923076923077,110583.000183,36.0000133514
4,14,171,0,12,0,1.0,0.0,134335.000038,17.9998874664
5,14,155,12,0,16,0.906432748538,1.0,130731.000185,37.9998683929
6,14,4,2,10,167,0.0233918128655,0.166666666667,139676.000118,138.999938965
7,14,170,0,12,0,1.0,0.0,136115.00001,18.000125885
8,14,157,10,2,13,0.923529411765,0.833333333333,139016.99996,35.0000858307
9,14,5,1,11,165,0.0294117647059,0.0833333333333,129915.0002,132.999897003
10,14,148,12,0,22,0.870588235294,1.0,136296.000004,43.0002212524
1,17,159,13,0,12,0.929824561404,1.0,154179.999828,39.0000343323
2,17,153,13,0,18,0.894736842105,1.0,155763.999939,45.0000762939
3,17,160,12,1,11,0.93567251462,0.923076923077,130490.00001,38.9997959137
4,17,171,0,12,0,1.0,0.0,159939.00013,17.9998874664
5,17,155,12,0,16,0.906432748538,1.0,155589.999914,43.9999103546
6,17,4,2,10,167,0.0233918128655,0.166666666667,166500.0,162.000179291
7,17,170,0,12,0,1.0,0.0,162148.999929,17.9998874664
8,17,157,10,2,13,0.923529411765,0.833333333333,166352.999926,39.0000343323
9,17,5,1,11,165,0.0294117647059,0.0833333333333,154381.999969,160.000085831
10,17,148,12,0,22,0.870588235294,1.0,162170.000076,48.0000972748
