Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,148,13,0,23,0.865497076023,1.0,0.999927520752,0.0
2,5,171,9,4,0,1.0,0.692307692308,1.00016593933,0.0
3,5,165,12,1,6,0.964912280702,0.923076923077,1.00016593933,0.0
4,5,168,9,3,3,0.982456140351,0.75,0.999927520752,0.0
5,5,85,12,0,86,0.497076023392,1.0,1.00016593933,0.0
6,5,171,9,3,0,1.0,0.75,1.00016593933,0.0
7,5,165,10,2,5,0.970588235294,0.833333333333,1.00016593933,0.0
8,5,168,8,4,2,0.988235294118,0.666666666667,0.999927520752,0.0
9,5,169,4,8,1,0.994117647059,0.333333333333,1.00016593933,0.0
10,5,164,11,1,6,0.964705882353,0.916666666667,0.999927520752,0.0
1,8,148,13,0,23,0.865497076023,1.0,1.00016593933,0.0
2,8,171,9,4,0,1.0,0.692307692308,0.999927520752,0.0
3,8,165,12,1,6,0.964912280702,0.923076923077,1.00016593933,0.0
4,8,168,9,3,3,0.982456140351,0.75,0.999927520752,0.0
5,8,85,12,0,86,0.497076023392,1.0,0.999927520752,0.0
6,8,171,9,3,0,1.0,0.75,0.999927520752,0.0
7,8,165,10,2,5,0.970588235294,0.833333333333,0.999927520752,0.0
8,8,168,8,4,2,0.988235294118,0.666666666667,2.00009346008,0.0
9,8,169,4,8,1,0.994117647059,0.333333333333,2.00009346008,0.0
10,8,164,11,1,6,0.964705882353,0.916666666667,2.00009346008,0.0
1,11,148,13,0,23,0.865497076023,1.0,1.00016593933,0.0
2,11,171,9,4,0,1.0,0.692307692308,0.999927520752,0.0
3,11,165,12,1,6,0.964912280702,0.923076923077,0.999927520752,0.0
4,11,168,9,3,3,0.982456140351,0.75,0.999927520752,0.0
5,11,85,12,0,86,0.497076023392,1.0,0.999927520752,0.0
6,11,171,9,3,0,1.0,0.75,1.00016593933,0.0
7,11,165,10,2,5,0.970588235294,0.833333333333,2.00009346008,0.0
8,11,168,8,4,2,0.988235294118,0.666666666667,0.999927520752,0.0
9,11,169,4,8,1,0.994117647059,0.333333333333,0.999927520752,1.00016593933
10,11,164,11,1,6,0.964705882353,0.916666666667,0.999927520752,0.0
1,14,148,13,0,23,0.865497076023,1.0,1.9998550415,0.0
2,14,171,9,4,0,1.0,0.692307692308,0.999927520752,0.999927520752
3,14,165,12,1,6,0.964912280702,0.923076923077,1.00016593933,0.0
4,14,168,9,3,3,0.982456140351,0.75,0.999927520752,0.0
5,14,85,12,0,86,0.497076023392,1.0,0.999927520752,0.0
6,14,171,9,3,0,1.0,0.75,0.999927520752,0.0
7,14,165,10,2,5,0.970588235294,0.833333333333,1.00016593933,0.0
8,14,168,8,4,2,0.988235294118,0.666666666667,0.999927520752,0.0
9,14,169,4,8,1,0.994117647059,0.333333333333,0.999927520752,0.0
10,14,164,11,1,6,0.964705882353,0.916666666667,1.00016593933,0.0
1,17,148,13,0,23,0.865497076023,1.0,1.9998550415,0.0
2,17,171,9,4,0,1.0,0.692307692308,0.999927520752,0.0
3,17,165,12,1,6,0.964912280702,0.923076923077,2.00009346008,0.0
4,17,168,9,3,3,0.982456140351,0.75,2.00009346008,0.0
5,17,85,12,0,86,0.497076023392,1.0,1.00016593933,0.0
6,17,171,9,3,0,1.0,0.75,1.00016593933,0.0
7,17,165,10,2,5,0.970588235294,0.833333333333,0.999927520752,0.0
8,17,168,8,4,2,0.988235294118,0.666666666667,2.00009346008,0.0
9,17,169,4,8,1,0.994117647059,0.333333333333,0.999927520752,0.0
10,17,164,11,1,6,0.964705882353,0.916666666667,1.9998550415,0.0
