Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,71,13,0,100,0.415204678363,1.0,1.9998550415,0.0
2,5,79,13,0,92,0.461988304094,1.0,0.999927520752,0.0
3,5,131,12,1,40,0.766081871345,0.923076923077,0.999927520752,0.0
4,5,166,11,1,5,0.970760233918,0.916666666667,0.999927520752,0.0
5,5,171,0,12,0,1.0,0.0,2.00009346008,0.0
6,5,71,12,0,100,0.415204678363,1.0,1.00016593933,0.0
7,5,140,12,0,30,0.823529411765,1.0,0.999927520752,0.0
8,5,147,12,0,23,0.864705882353,1.0,1.00016593933,0.0
9,5,138,12,0,32,0.811764705882,1.0,2.00009346008,0.0
10,5,148,12,0,22,0.870588235294,1.0,0.999927520752,0.0
1,8,71,13,0,100,0.415204678363,1.0,1.00016593933,0.0
2,8,79,13,0,92,0.461988304094,1.0,0.999927520752,0.0
3,8,131,12,1,40,0.766081871345,0.923076923077,0.999927520752,0.999927520752
4,8,166,11,1,5,0.970760233918,0.916666666667,0.999927520752,0.0
5,8,171,0,12,0,1.0,0.0,0.999927520752,0.0
6,8,71,12,0,100,0.415204678363,1.0,0.999927520752,0.0
7,8,140,12,0,30,0.823529411765,1.0,2.00009346008,0.0
8,8,147,12,0,23,0.864705882353,1.0,1.00016593933,0.0
9,8,138,12,0,32,0.811764705882,1.0,0.999927520752,0.0
10,8,148,12,0,22,0.870588235294,1.0,0.999927520752,0.999927520752
1,11,71,13,0,100,0.415204678363,1.0,0.999927520752,0.0
2,11,79,13,0,92,0.461988304094,1.0,0.999927520752,1.00016593933
3,11,131,12,1,40,0.766081871345,0.923076923077,0.999927520752,0.0
4,11,166,11,1,5,0.970760233918,0.916666666667,0.999927520752,0.0
5,11,171,0,12,0,1.0,0.0,0.999927520752,0.0
6,11,71,12,0,100,0.415204678363,1.0,1.00016593933,0.0
7,11,140,12,0,30,0.823529411765,1.0,0.999927520752,0.0
8,11,147,12,0,23,0.864705882353,1.0,0.999927520752,0.0
9,11,138,12,0,32,0.811764705882,1.0,1.00016593933,0.0
10,11,148,12,0,22,0.870588235294,1.0,0.999927520752,0.0
1,14,71,13,0,100,0.415204678363,1.0,0.999927520752,0.0
2,14,79,13,0,92,0.461988304094,1.0,0.999927520752,0.0
3,14,131,12,1,40,0.766081871345,0.923076923077,0.999927520752,1.00016593933
4,14,166,11,1,5,0.970760233918,0.916666666667,0.999927520752,0.0
5,14,171,0,12,0,1.0,0.0,1.9998550415,0.0
6,14,71,12,0,100,0.415204678363,1.0,1.00016593933,0.0
7,14,140,12,0,30,0.823529411765,1.0,0.999927520752,0.0
8,14,147,12,0,23,0.864705882353,1.0,0.999927520752,0.0
9,14,138,12,0,32,0.811764705882,1.0,0.999927520752,0.0
10,14,148,12,0,22,0.870588235294,1.0,2.00009346008,0.0
1,17,71,13,0,100,0.415204678363,1.0,1.00016593933,0.0
2,17,79,13,0,92,0.461988304094,1.0,0.999927520752,0.0
3,17,131,12,1,40,0.766081871345,0.923076923077,1.00016593933,0.0
4,17,166,11,1,5,0.970760233918,0.916666666667,1.00016593933,0.0
5,17,171,0,12,0,1.0,0.0,2.00009346008,0.0
6,17,71,12,0,100,0.415204678363,1.0,0.999927520752,0.0
7,17,140,12,0,30,0.823529411765,1.0,1.00016593933,0.0
8,17,147,12,0,23,0.864705882353,1.0,2.00009346008,0.0
9,17,138,12,0,32,0.811764705882,1.0,1.00016593933,0.0
10,17,148,12,0,22,0.870588235294,1.0,1.00016593933,0.0
