Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,171,9,4,0,1.0,0.692307692308,1.00016593933,0.0
2,5,169,9,4,2,0.988304093567,0.692307692308,1.9998550415,0.0
3,5,170,10,3,1,0.994152046784,0.769230769231,1.9998550415,0.0
4,5,168,9,3,3,0.982456140351,0.75,1.00016593933,0.0
5,5,169,8,4,2,0.988304093567,0.666666666667,2.00009346008,0.0
6,5,169,9,3,2,0.988304093567,0.75,1.9998550415,0.0
7,5,166,10,2,4,0.976470588235,0.833333333333,0.999927520752,1.00016593933
8,5,168,8,4,2,0.988235294118,0.666666666667,2.00009346008,0.0
9,5,169,4,8,1,0.994117647059,0.333333333333,2.00009346008,0.0
10,5,170,9,3,0,1.0,0.75,1.9998550415,0.0
1,8,171,9,4,0,1.0,0.692307692308,0.999927520752,0.0
2,8,169,9,4,2,0.988304093567,0.692307692308,2.00009346008,0.0
3,8,170,10,3,1,0.994152046784,0.769230769231,1.9998550415,0.0
4,8,168,9,3,3,0.982456140351,0.75,0.999927520752,0.0
5,8,169,8,4,2,0.988304093567,0.666666666667,0.999927520752,0.0
6,8,169,9,3,2,0.988304093567,0.75,0.999927520752,0.0
7,8,166,10,2,4,0.976470588235,0.833333333333,1.00016593933,0.0
8,8,168,8,4,2,0.988235294118,0.666666666667,0.999927520752,0.0
9,8,169,4,8,1,0.994117647059,0.333333333333,0.999927520752,0.0
10,8,170,9,3,0,1.0,0.75,1.00016593933,0.0
1,11,171,9,4,0,1.0,0.692307692308,1.9998550415,0.0
2,11,169,9,4,2,0.988304093567,0.692307692308,0.999927520752,0.0
3,11,170,10,3,1,0.994152046784,0.769230769231,2.00009346008,0.0
4,11,168,9,3,3,0.982456140351,0.75,0.999927520752,0.0
5,11,169,8,4,2,0.988304093567,0.666666666667,0.999927520752,0.0
6,11,169,9,3,2,0.988304093567,0.75,2.00009346008,0.0
7,11,166,10,2,4,0.976470588235,0.833333333333,1.9998550415,0.0
8,11,168,8,4,2,0.988235294118,0.666666666667,1.9998550415,0.0
9,11,169,4,8,1,0.994117647059,0.333333333333,0.999927520752,0.0
10,11,170,9,3,0,1.0,0.75,0.999927520752,0.0
1,14,171,9,4,0,1.0,0.692307692308,1.00016593933,0.0
2,14,169,9,4,2,0.988304093567,0.692307692308,2.00009346008,0.0
3,14,170,10,3,1,0.994152046784,0.769230769231,2.00009346008,0.0
4,14,168,9,3,3,0.982456140351,0.75,1.9998550415,0.0
5,14,169,8,4,2,0.988304093567,0.666666666667,1.9998550415,0.0
6,14,169,9,3,2,0.988304093567,0.75,1.00016593933,0.0
7,14,166,10,2,4,0.976470588235,0.833333333333,0.999927520752,0.0
8,14,168,8,4,2,0.988235294118,0.666666666667,0.999927520752,0.0
9,14,169,4,8,1,0.994117647059,0.333333333333,0.999927520752,0.0
10,14,170,9,3,0,1.0,0.75,2.00009346008,0.0
1,17,171,9,4,0,1.0,0.692307692308,2.00009346008,0.0
2,17,169,9,4,2,0.988304093567,0.692307692308,2.00009346008,0.0
3,17,170,10,3,1,0.994152046784,0.769230769231,2.00009346008,0.0
4,17,168,9,3,3,0.982456140351,0.75,2.00009346008,0.0
5,17,169,8,4,2,0.988304093567,0.666666666667,2.00009346008,0.0
6,17,169,9,3,2,0.988304093567,0.75,2.00009346008,0.0
7,17,166,10,2,4,0.976470588235,0.833333333333,2.00009346008,0.0
8,17,168,8,4,2,0.988235294118,0.666666666667,0.999927520752,0.0
9,17,169,4,8,1,0.994117647059,0.333333333333,0.999927520752,0.0
10,17,170,9,3,0,1.0,0.75,0.999927520752,0.0
