Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,142,13,0,29,0.830409356725,1.0,1.00016593933,0.0
2,5,171,9,4,0,1.0,0.692307692308,1.00016593933,0.0
3,5,155,12,1,16,0.906432748538,0.923076923077,1.00016593933,0.0
4,5,158,12,0,13,0.923976608187,1.0,0.999927520752,0.0
5,5,171,0,12,0,1.0,0.0,1.9998550415,0.0
6,5,171,9,3,0,1.0,0.75,0.999927520752,0.0
7,5,144,12,0,26,0.847058823529,1.0,0.999927520752,0.0
8,5,154,12,0,16,0.905882352941,1.0,1.00016593933,0.0
9,5,138,12,0,32,0.811764705882,1.0,0.999927520752,0.0
10,5,158,12,0,12,0.929411764706,1.0,1.9998550415,0.0
1,8,142,13,0,29,0.830409356725,1.0,0.999927520752,0.0
2,8,171,9,4,0,1.0,0.692307692308,0.999927520752,0.0
3,8,155,12,1,16,0.906432748538,0.923076923077,0.999927520752,0.0
4,8,158,12,0,13,0.923976608187,1.0,2.00009346008,0.0
5,8,171,0,12,0,1.0,0.0,0.999927520752,0.0
6,8,171,9,3,0,1.0,0.75,1.00016593933,0.0
7,8,144,12,0,26,0.847058823529,1.0,1.00016593933,0.0
8,8,154,12,0,16,0.905882352941,1.0,1.00016593933,0.999927520752
9,8,138,12,0,32,0.811764705882,1.0,0.999927520752,0.0
10,8,158,12,0,12,0.929411764706,1.0,1.00016593933,0.0
1,11,142,13,0,29,0.830409356725,1.0,0.999927520752,0.0
2,11,171,9,4,0,1.0,0.692307692308,0.999927520752,0.0
3,11,155,12,1,16,0.906432748538,0.923076923077,0.999927520752,0.0
4,11,158,12,0,13,0.923976608187,1.0,1.00016593933,0.0
5,11,171,0,12,0,1.0,0.0,1.00016593933,0.0
6,11,171,9,3,0,1.0,0.75,0.999927520752,0.999927520752
7,11,144,12,0,26,0.847058823529,1.0,1.00016593933,0.0
8,11,154,12,0,16,0.905882352941,1.0,1.9998550415,0.0
9,11,138,12,0,32,0.811764705882,1.0,1.00016593933,0.0
10,11,158,12,0,12,0.929411764706,1.0,0.999927520752,0.0
1,14,142,13,0,29,0.830409356725,1.0,0.999927520752,0.0
2,14,171,9,4,0,1.0,0.692307692308,0.999927520752,0.0
3,14,155,12,1,16,0.906432748538,0.923076923077,0.999927520752,0.0
4,14,158,12,0,13,0.923976608187,1.0,0.999927520752,0.0
5,14,171,0,12,0,1.0,0.0,1.00016593933,0.999927520752
6,14,171,9,3,0,1.0,0.75,0.999927520752,0.0
7,14,144,12,0,26,0.847058823529,1.0,1.9998550415,0.0
8,14,154,12,0,16,0.905882352941,1.0,2.00009346008,0.0
9,14,138,12,0,32,0.811764705882,1.0,0.999927520752,0.0
10,14,158,12,0,12,0.929411764706,1.0,0.999927520752,0.0
1,17,142,13,0,29,0.830409356725,1.0,0.999927520752,0.0
2,17,171,9,4,0,1.0,0.692307692308,0.999927520752,0.0
3,17,155,12,1,16,0.906432748538,0.923076923077,0.999927520752,0.0
4,17,158,12,0,13,0.923976608187,1.0,1.9998550415,0.0
5,17,171,0,12,0,1.0,0.0,0.999927520752,0.0
6,17,171,9,3,0,1.0,0.75,1.00016593933,0.0
7,17,144,12,0,26,0.847058823529,1.0,1.00016593933,0.0
8,17,154,12,0,16,0.905882352941,1.0,1.00016593933,0.0
9,17,138,12,0,32,0.811764705882,1.0,0.999927520752,0.0
10,17,158,12,0,12,0.929411764706,1.0,1.9998550415,0.0
