Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,171,0,13,0,1.0,0.0,67.0001506805,0.999927520752
2,5,171,0,13,0,1.0,0.0,66.999912262,0.0
3,5,160,12,1,11,0.93567251462,0.923076923077,32.9999923706,0.0
4,5,0,12,0,171,0.0,1.0,72.0000267029,0.0
5,5,0,12,0,171,0.0,1.0,65.9999847412,0.999927520752
6,5,0,12,0,171,0.0,1.0,65.9999847412,0.0
7,5,0,12,0,170,0.0,1.0,65.9999847412,0.0
8,5,0,12,0,170,0.0,1.0,69.000005722,0.999927520752
9,5,0,12,0,170,0.0,1.0,67.0001506805,0.0
10,5,170,0,12,0,1.0,0.0,68.0000782013,0.999927520752
1,8,171,0,13,0,1.0,0.0,68.0000782013,0.0
2,8,171,0,13,0,1.0,0.0,65.9999847412,0.0
3,8,160,12,1,11,0.93567251462,0.923076923077,33.9999198914,1.00016593933
4,8,0,12,0,171,0.0,1.0,70.9998607635,1.00016593933
5,8,0,12,0,171,0.0,1.0,65.9999847412,0.0
6,8,0,12,0,171,0.0,1.0,63.9998912811,0.0
7,8,0,12,0,170,0.0,1.0,65.9999847412,1.00016593933
8,8,0,12,0,170,0.0,1.0,69.9999332428,0.0
9,8,0,12,0,170,0.0,1.0,66.999912262,0.0
10,8,170,0,12,0,1.0,0.0,67.9998397827,0.0
1,11,171,0,13,0,1.0,0.0,70.0001716614,0.999927520752
2,11,171,0,13,0,1.0,0.0,69.000005722,1.00016593933
3,11,160,12,1,11,0.93567251462,0.923076923077,32.0000648499,0.999927520752
4,11,0,12,0,171,0.0,1.0,73.0001926422,0.0
5,11,0,12,0,171,0.0,1.0,68.0000782013,0.0
6,11,0,12,0,171,0.0,1.0,65.0000572205,0.999927520752
7,11,0,12,0,170,0.0,1.0,69.000005722,0.999927520752
8,11,0,12,0,170,0.0,1.0,72.0000267029,0.0
9,11,0,12,0,170,0.0,1.0,68.0000782013,0.999927520752
10,11,170,0,12,0,1.0,0.0,69.000005722,0.999927520752
1,14,171,0,13,0,1.0,0.0,68.0000782013,0.0
2,14,171,0,13,0,1.0,0.0,66.0002231598,0.999927520752
3,14,160,12,1,11,0.93567251462,0.923076923077,31.9998264313,1.00016593933
4,14,0,12,0,171,0.0,1.0,72.0000267029,0.0
5,14,0,12,0,171,0.0,1.0,67.0001506805,0.0
6,14,0,12,0,171,0.0,1.0,66.0002231598,0.0
7,14,0,12,0,170,0.0,1.0,69.9999332428,1.00016593933
8,14,0,12,0,170,0.0,1.0,70.0001716614,0.0
9,14,0,12,0,170,0.0,1.0,65.9999847412,1.00016593933
10,14,170,0,12,0,1.0,0.0,69.9999332428,0.0
1,17,171,0,13,0,1.0,0.0,69.000005722,0.0
2,17,171,0,13,0,1.0,0.0,67.0001506805,0.0
3,17,160,12,1,11,0.93567251462,0.923076923077,31.9998264313,0.0
4,17,0,12,0,171,0.0,1.0,69.9999332428,0.0
5,17,0,12,0,171,0.0,1.0,65.9999847412,1.00016593933
6,17,0,12,0,171,0.0,1.0,65.9999847412,0.999927520752
7,17,0,12,0,170,0.0,1.0,66.999912262,0.0
8,17,0,12,0,170,0.0,1.0,70.0001716614,0.999927520752
9,17,0,12,0,170,0.0,1.0,66.999912262,1.00016593933
10,17,170,0,12,0,1.0,0.0,66.999912262,0.999927520752
