Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,122,2,1,24,0.835616438356,0.666666666667,15267.9998875,14.0001773834
2,5,0,3,0,146,0.0,1.0,11417.9999828,32.9999923706
3,5,0,3,0,146,0.0,1.0,13565.0000572,32.9999923706
4,5,141,0,3,5,0.965753424658,0.0,10362.9999161,11.0001564026
5,5,109,1,2,37,0.746575342466,0.333333333333,9588.99998665,16.0000324249
6,5,135,0,2,11,0.924657534247,0.0,13054.0001392,10.999917984
7,5,136,0,2,10,0.931506849315,0.0,12698.0001926,11.9998455048
8,5,144,0,2,1,0.993103448276,0.0,10909.0001583,9.99999046326
9,5,133,0,2,12,0.91724137931,0.0,10782.0000648,12.0000839233
10,5,131,0,2,14,0.903448275862,0.0,12164.0000343,11.9998455048
1,8,122,2,1,24,0.835616438356,0.666666666667,20557.0001602,16.9999599457
2,8,0,3,0,146,0.0,1.0,13746.999979,52.0000457764
3,8,0,3,0,146,0.0,1.0,17269.9999809,51.9998073578
4,8,141,0,3,5,0.965753424658,0.0,11930.0000668,10.999917984
5,8,109,1,2,37,0.746575342466,0.333333333333,10534.0001583,19.9999809265
6,8,135,0,2,11,0.924657534247,0.0,17170.0000763,13.0000114441
7,8,136,0,2,10,0.931506849315,0.0,16573.0001926,12.9997730255
8,8,144,0,2,1,0.993103448276,0.0,13450.0000477,9.99999046326
9,8,133,0,2,12,0.91724137931,0.0,12851.9999981,16.0000324249
10,8,131,0,2,14,0.903448275862,0.0,14871.0000515,13.9999389648
1,11,122,2,1,24,0.835616438356,0.666666666667,25457.9999447,19.9999809265
2,11,0,3,0,146,0.0,1.0,15899.0001678,69.000005722
3,11,0,3,0,146,0.0,1.0,20927.0000458,68.0000782013
4,11,141,0,3,5,0.965753424658,0.0,13261.0001564,11.9998455048
5,11,109,1,2,37,0.746575342466,0.333333333333,11374.0000725,25.0000953674
6,11,135,0,2,11,0.924657534247,0.0,19835.9999657,13.9999389648
7,11,136,0,2,10,0.931506849315,0.0,18826.9999027,13.9999389648
8,11,144,0,2,1,0.993103448276,0.0,14605.0000191,9.99999046326
9,11,133,0,2,12,0.91724137931,0.0,14318.0000782,13.9999389648
10,11,131,0,2,14,0.903448275862,0.0,17745.000124,16.0000324249
1,14,122,2,1,24,0.835616438356,0.666666666667,30422.0001698,23.9999294281
2,14,0,3,0,146,0.0,1.0,18147.0000744,87.0001316071
3,14,0,3,0,146,0.0,1.0,24661.9999409,88.0000591278
4,14,141,0,3,5,0.965753424658,0.0,14670.0000763,13.0000114441
5,14,109,1,2,37,0.746575342466,0.333333333333,12243.0000305,29.9999713898
6,14,135,0,2,11,0.924657534247,0.0,23210.0000381,15.9997940063
7,14,136,0,2,10,0.931506849315,0.0,21947.0000267,14.9998664856
8,14,144,0,2,1,0.993103448276,0.0,16437.9999638,9.99999046326
9,14,133,0,2,12,0.91724137931,0.0,16042.0000553,16.0000324249
10,14,131,0,2,14,0.903448275862,0.0,20362.9999161,17.0001983643
1,17,122,2,1,24,0.835616438356,0.666666666667,35414.9999619,26.0000228882
2,17,0,3,0,146,0.0,1.0,20250.0,102.999925613
3,17,0,3,0,146,0.0,1.0,28281.9998264,104.000091553
4,17,141,0,3,5,0.965753424658,0.0,16092.0000076,12.0000839233
5,17,109,1,2,37,0.746575342466,0.333333333333,13038.0001068,33.9999198914
6,17,135,0,2,11,0.924657534247,0.0,26585.9999657,16.0000324249
7,17,136,0,2,10,0.931506849315,0.0,25039.0000343,16.0000324249
8,17,144,0,2,1,0.993103448276,0.0,18233.9999676,9.99999046326
9,17,133,0,2,12,0.91724137931,0.0,17733.9999676,18.000125885
10,17,131,0,2,14,0.903448275862,0.0,22986.000061,19.0000534058
