Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,0,3,0,146,0.0,1.0,54172.9998589,34.0001583099
2,5,129,1,2,17,0.883561643836,0.333333333333,58735.0001335,13.0000114441
3,5,0,3,0,146,0.0,1.0,86440.9999847,32.9999923706
4,5,1,3,0,145,0.00684931506849,1.0,47285.0000858,33.9999198914
5,5,0,3,0,146,0.0,1.0,30119.9998856,32.9999923706
6,5,140,0,2,6,0.958904109589,0.0,59414.0000343,10.999917984
7,5,138,1,1,8,0.945205479452,0.5,53139.9998665,11.0001564026
8,5,0,2,0,145,0.0,1.0,68286.0000134,32.9999923706
9,5,61,1,1,84,0.420689655172,0.5,60434.9999428,23.0000019073
10,5,0,2,0,145,0.0,1.0,40094.0001011,32.9999923706
1,8,0,3,0,146,0.0,1.0,74954.9999237,50.999879837
2,8,129,1,2,17,0.883561643836,0.333333333333,82654.9999714,15.0001049042
3,8,0,3,0,146,0.0,1.0,129782.999992,52.9999732971
4,8,1,3,0,145,0.00684931506849,1.0,63157.0000648,51.0001182556
5,8,0,3,0,146,0.0,1.0,32921.0000038,50.999879837
6,8,140,0,2,6,0.958904109589,0.0,83770.9999084,11.0001564026
7,8,138,1,1,8,0.945205479452,0.5,73565.0000572,13.0000114441
8,8,0,2,0,145,0.0,1.0,99087.0001316,49.9999523163
9,8,61,1,1,84,0.420689655172,0.5,85362.9999161,32.9999923706
10,8,0,2,0,145,0.0,1.0,50364.000082,50.999879837
1,11,0,3,0,146,0.0,1.0,95220.0000286,66.999912262
2,11,129,1,2,17,0.883561643836,0.333333333333,107149.999857,16.9999599457
3,11,0,3,0,146,0.0,1.0,174527.999878,69.000005722
4,11,1,3,0,145,0.00684931506849,1.0,78649.9998569,68.0000782013
5,11,0,3,0,146,0.0,1.0,35988.0001545,69.9999332428
6,11,140,0,2,6,0.958904109589,0.0,107970.999956,11.0001564026
7,11,138,1,1,8,0.945205479452,0.5,93092.0000076,13.0000114441
8,11,0,2,0,145,0.0,1.0,130529.000044,67.0001506805
9,11,61,1,1,84,0.420689655172,0.5,110802.000046,43.9999103546
10,11,0,2,0,145,0.0,1.0,60536.0000134,67.0001506805
1,14,0,3,0,146,0.0,1.0,115924.000025,86.9998931885
2,14,129,1,2,17,0.883561643836,0.333333333333,130986.999989,19.0000534058
3,14,0,3,0,146,0.0,1.0,218825.000048,85.9999656677
4,14,1,3,0,145,0.00684931506849,1.0,94408.9999199,88.9999866486
5,14,0,3,0,146,0.0,1.0,38990.9999371,86.9998931885
6,14,140,0,2,6,0.958904109589,0.0,133220.999956,13.0000114441
7,14,138,1,1,8,0.945205479452,0.5,113357.000113,14.9998664856
8,14,0,2,0,145,0.0,1.0,161003.999949,85.9999656677
9,14,61,1,1,84,0.420689655172,0.5,136034.000158,53.9999008179
10,14,0,2,0,145,0.0,1.0,70940.0000572,84.0001106262
1,17,0,3,0,146,0.0,1.0,136654.999971,103.999853134
2,17,129,1,2,17,0.883561643836,0.333333333333,154799.000025,20.9999084473
3,17,0,3,0,146,0.0,1.0,262904.999971,102.999925613
4,17,1,3,0,145,0.00684931506849,1.0,110310.000181,103.999853134
5,17,0,3,0,146,0.0,1.0,41674.9999523,105.000019073
6,17,140,0,2,6,0.958904109589,0.0,156990.999937,14.0001773834
7,17,138,1,1,8,0.945205479452,0.5,133259.000063,14.9998664856
8,17,0,2,0,145,0.0,1.0,192113.999844,103.000164032
9,17,61,1,1,84,0.420689655172,0.5,160782.999992,63.9998912811
10,17,0,2,0,145,0.0,1.0,81024.9998569,101.999998093
