Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,113,3,0,33,0.77397260274,1.0,16608.0000401,16.0000324249
2,5,126,1,2,20,0.86301369863,0.333333333333,16050.0001907,12.9997730255
3,5,113,2,1,33,0.77397260274,0.666666666667,16631.000042,16.9999599457
4,5,111,1,2,35,0.760273972603,0.333333333333,16180.9999943,16.0000324249
5,5,109,2,1,37,0.746575342466,0.666666666667,16217.0000076,16.9999599457
6,5,102,1,1,44,0.698630136986,0.5,16223.0000496,17.9998874664
7,5,119,0,2,27,0.815068493151,0.0,15434.9999428,13.9999389648
8,5,114,0,2,31,0.786206896552,0.0,15750.9999275,16.0000324249
9,5,112,2,0,33,0.772413793103,1.0,16503.000021,15.9997940063
10,5,114,2,0,31,0.786206896552,1.0,16552.9999733,16.0000324249
1,8,113,3,0,33,0.77397260274,1.0,21634.0000629,20.9999084473
2,8,126,1,2,20,0.86301369863,0.333333333333,21008.0001354,16.0000324249
3,8,113,2,1,33,0.77397260274,0.666666666667,21622.9999065,20.0002193451
4,8,111,1,2,35,0.760273972603,0.333333333333,21532.9999924,21.0001468658
5,8,109,2,1,37,0.746575342466,0.666666666667,22115.0000095,21.0001468658
6,8,102,1,1,44,0.698630136986,0.5,21022.0000744,23.0000019073
7,8,119,0,2,27,0.815068493151,0.0,19654.9999714,17.9998874664
8,8,114,0,2,31,0.786206896552,0.0,20392.9998875,19.0000534058
9,8,112,2,0,33,0.772413793103,1.0,21721.9998837,21.0001468658
10,8,114,2,0,31,0.786206896552,1.0,21891.0000324,19.9999809265
1,11,113,3,0,33,0.77397260274,1.0,26302.9999733,26.0000228882
2,11,126,1,2,20,0.86301369863,0.333333333333,25126.999855,19.0000534058
3,11,113,2,1,33,0.77397260274,0.666666666667,25879.999876,25.0000953674
4,11,111,1,2,35,0.760273972603,0.333333333333,25407.9999924,24.9998569489
5,11,109,2,1,37,0.746575342466,0.666666666667,25416.0001278,26.0000228882
6,11,102,1,1,44,0.698630136986,0.5,24957.0000172,29.000043869
7,11,119,0,2,27,0.815068493151,0.0,23415.9998894,21.0001468658
8,11,114,0,2,31,0.786206896552,0.0,24441.9999123,23.9999294281
9,11,112,2,0,33,0.772413793103,1.0,25990.9999371,24.0001678467
10,11,114,2,0,31,0.786206896552,1.0,26129.0001869,23.9999294281
1,14,113,3,0,33,0.77397260274,1.0,31144.0000534,29.9999713898
2,14,126,1,2,20,0.86301369863,0.333333333333,29744.9998856,21.0001468658
3,14,113,2,1,33,0.77397260274,0.666666666667,30611.9999886,29.000043869
4,14,111,1,2,35,0.760273972603,0.333333333333,30393.999815,29.9999713898
5,14,109,2,1,37,0.746575342466,0.666666666667,30278.0001163,30.9998989105
6,14,102,1,1,44,0.698630136986,0.5,29602.9999256,35.0000858307
7,14,119,0,2,27,0.815068493151,0.0,27670.9997654,25.0000953674
8,14,114,0,2,31,0.786206896552,0.0,28542.0000553,26.9999504089
9,14,112,2,0,33,0.772413793103,1.0,31041.9998169,29.000043869
10,14,114,2,0,31,0.786206896552,1.0,30917.0000553,27.9998779297
1,17,113,3,0,33,0.77397260274,1.0,36872.9999065,35.0000858307
2,17,126,1,2,20,0.86301369863,0.333333333333,35131.000042,29.000043869
3,17,113,2,1,33,0.77397260274,0.666666666667,36108.9999676,35.0000858307
4,17,111,1,2,35,0.760273972603,0.333333333333,35519.0000534,36.9999408722
5,17,109,2,1,37,0.746575342466,0.666666666667,35875.9999275,36.0000133514
6,17,102,1,1,44,0.698630136986,0.5,34871.999979,42.0000553131
7,17,119,0,2,27,0.815068493151,0.0,32177.9999733,27.9998779297
8,17,114,0,2,31,0.786206896552,0.0,33500.0,32.0000648499
9,17,112,2,0,33,0.772413793103,1.0,36402.9998779,33.9999198914
10,17,114,2,0,31,0.786206896552,1.0,36505.0001144,31.9998264313
