Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,0,3,0,146,0.0,1.0,8141.00003242,33.9999198914
2,5,133,1,2,13,0.91095890411,0.333333333333,8763.00001144,11.9998455048
3,5,0,3,0,146,0.0,1.0,12642.9998875,32.9999923706
4,5,135,0,3,11,0.924657534247,0.0,6922.99985886,11.0001564026
5,5,0,3,0,146,0.0,1.0,4509.00006294,33.9999198914
6,5,0,2,0,146,0.0,1.0,9628.00002098,32.9999923706
7,5,0,2,0,146,0.0,1.0,7843.99986267,33.9999198914
8,5,145,0,2,0,1.0,0.0,10868.999958,9.99999046326
9,5,3,1,1,142,0.0206896551724,0.5,9656.00013733,32.9999923706
10,5,0,2,0,145,0.0,1.0,6321.00009918,36.9999408722
1,8,0,3,0,146,0.0,1.0,11371.999979,52.0000457764
2,8,133,1,2,13,0.91095890411,0.333333333333,12414.0000343,13.9999389648
3,8,0,3,0,146,0.0,1.0,19039.0000343,51.0001182556
4,8,135,0,3,11,0.924657534247,0.0,9309.00001526,13.9999389648
5,8,0,3,0,146,0.0,1.0,5052.9999733,51.0001182556
6,8,0,2,0,146,0.0,1.0,13794.0001488,50.999879837
7,8,0,2,0,146,0.0,1.0,10776.9999504,50.999879837
8,8,145,0,2,0,1.0,0.0,16032.9999924,12.0000839233
9,8,3,1,1,142,0.0206896551724,0.5,13993.999958,50.0001907349
10,8,0,2,0,145,0.0,1.0,8179.99982834,50.0001907349
1,11,0,3,0,146,0.0,1.0,14555.9999943,69.000005722
2,11,133,1,2,13,0.91095890411,0.333333333333,16220.9999561,14.9998664856
3,11,0,3,0,146,0.0,1.0,25651.0000229,69.000005722
4,11,135,0,3,11,0.924657534247,0.0,11625.0,15.0001049042
5,11,0,3,0,146,0.0,1.0,5599.99990463,68.0000782013
6,11,0,2,0,146,0.0,1.0,17996.0000515,68.0000782013
7,11,0,2,0,146,0.0,1.0,13762.0000839,69.000005722
8,11,145,0,2,0,1.0,0.0,21301.0001183,8.99982452393
9,11,3,1,1,142,0.0206896551724,0.5,18417.0000553,65.9999847412
10,11,0,2,0,145,0.0,1.0,9901.00002289,69.000005722
1,14,0,3,0,146,0.0,1.0,17815.9999847,85.9999656677
2,14,133,1,2,13,0.91095890411,0.333333333333,19671.9999313,16.9999599457
3,14,0,3,0,146,0.0,1.0,32093.0001736,85.9999656677
4,14,135,0,3,11,0.924657534247,0.0,13946.0000992,16.0000324249
5,14,0,3,0,146,0.0,1.0,6179.00013924,87.9998207092
6,14,0,2,0,146,0.0,1.0,22316.9999123,85.9999656677
7,14,0,2,0,146,0.0,1.0,16684.9999428,85.000038147
8,14,145,0,2,0,1.0,0.0,26450.0000477,8.99982452393
9,14,3,1,1,142,0.0206896551724,0.5,22759.0000629,84.9997997284
10,14,0,2,0,145,0.0,1.0,11809.9999428,85.000038147
1,17,0,3,0,146,0.0,1.0,21291.0001278,105.999946594
2,17,133,1,2,13,0.91095890411,0.333333333333,23680.9999943,19.0000534058
3,17,0,3,0,146,0.0,1.0,39071.0000992,105.999946594
4,17,135,0,3,11,0.924657534247,0.0,16513.0000114,16.9999599457
5,17,0,3,0,146,0.0,1.0,6755.00011444,105.999946594
6,17,0,2,0,146,0.0,1.0,26753.9999485,106.000185013
7,17,0,2,0,146,0.0,1.0,20023.0000019,105.000019073
8,17,145,0,2,0,1.0,0.0,32313.0002022,9.99999046326
9,17,3,1,1,142,0.0206896551724,0.5,27393.0001259,100.999832153
10,17,0,2,0,145,0.0,1.0,13779.0000439,104.999780655
