Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,104,1,2,42,0.712328767123,0.333333333333,43997.9999065,23.0000019073
2,5,119,1,2,27,0.815068493151,0.333333333333,43112.9999161,18.000125885
3,5,109,1,2,37,0.746575342466,0.333333333333,45166.9998169,21.0001468658
4,5,123,2,1,23,0.842465753425,0.666666666667,43361.9999886,18.000125885
5,5,68,2,1,78,0.465753424658,0.666666666667,44523.0000019,29.9999713898
6,5,143,0,2,3,0.979452054795,0.0,43957.9999447,12.0000839233
7,5,144,0,2,2,0.986301369863,0.0,43213.9999866,13.0000114441
8,5,124,1,1,21,0.855172413793,0.5,42325.9999752,16.9999599457
9,5,106,1,1,39,0.731034482759,0.5,45096.9998837,21.0001468658
10,5,72,1,1,73,0.496551724138,0.5,45075.9999752,29.000043869
1,8,104,1,2,42,0.712328767123,0.333333333333,65631.000042,30.9998989105
2,8,119,1,2,27,0.815068493151,0.333333333333,63976.9999981,23.0000019073
3,8,109,1,2,37,0.746575342466,0.333333333333,66940.0000572,27.9998779297
4,8,123,2,1,23,0.842465753425,0.666666666667,64769.9999809,22.0000743866
5,8,68,2,1,78,0.465753424658,0.666666666667,66032.0000648,42.9999828339
6,8,143,0,2,3,0.979452054795,0.0,66052.9999733,13.0000114441
7,8,144,0,2,2,0.986301369863,0.0,64305.0000668,13.9999389648
8,8,124,1,1,21,0.855172413793,0.5,62466.0000801,20.9999084473
9,8,106,1,1,39,0.731034482759,0.5,67396.999836,28.0001163483
10,8,72,1,1,73,0.496551724138,0.5,66717.0000076,39.999961853
1,11,104,1,2,42,0.712328767123,0.333333333333,89883.9998245,40.0002002716
2,11,119,1,2,27,0.815068493151,0.333333333333,87244.9998856,28.0001163483
3,11,109,1,2,37,0.746575342466,0.333333333333,91714.9999142,33.9999198914
4,11,123,2,1,23,0.842465753425,0.666666666667,87966.0000801,26.9999504089
5,11,68,2,1,78,0.465753424658,0.666666666667,90316.9999123,62.0000362396
6,11,143,0,2,3,0.979452054795,0.0,89176.0001183,13.9999389648
7,11,144,0,2,2,0.986301369863,0.0,86996.0000515,15.0001049042
8,11,124,1,1,21,0.855172413793,0.5,85077.9998302,26.0000228882
9,11,106,1,1,39,0.731034482759,0.5,91853.000164,34.9998474121
10,11,72,1,1,73,0.496551724138,0.5,91572.9999542,55.0000667572
1,14,104,1,2,42,0.712328767123,0.333333333333,108505.000114,44.9998378754
2,14,119,1,2,27,0.815068493151,0.333333333333,106143.000126,33.9999198914
3,14,109,1,2,37,0.746575342466,0.333333333333,111274.000168,38.9997959137
4,14,123,2,1,23,0.842465753425,0.666666666667,106717.999935,29.9999713898
5,14,68,2,1,78,0.465753424658,0.666666666667,109411.000013,69.000005722
6,14,143,0,2,3,0.979452054795,0.0,108180.999994,14.9998664856
7,14,144,0,2,2,0.986301369863,0.0,106076.999903,13.9999389648
8,14,124,1,1,21,0.855172413793,0.5,103165.0002,27.9998779297
9,14,106,1,1,39,0.731034482759,0.5,111503.999949,42.0000553131
10,14,72,1,1,73,0.496551724138,0.5,112620.000124,63.9998912811
1,17,104,1,2,42,0.712328767123,0.333333333333,129864.000082,50.999879837
2,17,119,1,2,27,0.815068493151,0.333333333333,126746.000051,36.9999408722
3,17,109,1,2,37,0.746575342466,0.333333333333,133069.999933,46.0000038147
4,17,123,2,1,23,0.842465753425,0.666666666667,127722.000122,33.9999198914
5,17,68,2,1,78,0.465753424658,0.666666666667,131351.000071,82.9999446869
6,17,143,0,2,3,0.979452054795,0.0,129496.999979,15.0001049042
7,17,144,0,2,2,0.986301369863,0.0,126437.999964,14.9998664856
8,17,124,1,1,21,0.855172413793,0.5,124451.999903,32.0000648499
9,17,106,1,1,39,0.731034482759,0.5,134021.000147,47.9998588562
10,17,72,1,1,73,0.496551724138,0.5,133013.000011,75.9999752045
