Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,145,0,3,1,0.993150684932,0.0,0.999927520752,1.00016593933
2,5,138,1,2,8,0.945205479452,0.333333333333,0.999927520752,0.999927520752
3,5,132,1,2,14,0.904109589041,0.333333333333,0.999927520752,0.0
4,5,141,0,3,5,0.965753424658,0.0,1.9998550415,0.0
5,5,144,0,3,2,0.986301369863,0.0,1.00016593933,0.0
6,5,142,0,2,4,0.972602739726,0.0,0.999927520752,0.0
7,5,135,0,2,11,0.924657534247,0.0,0.999927520752,0.0
8,5,0,2,0,145,0.0,1.0,0.999927520752,0.0
9,5,98,2,0,47,0.675862068966,1.0,0.999927520752,0.0
10,5,0,2,0,145,0.0,1.0,0.999927520752,0.0
1,8,145,0,3,1,0.993150684932,0.0,1.00016593933,0.0
2,8,138,1,2,8,0.945205479452,0.333333333333,1.00016593933,0.0
3,8,132,1,2,14,0.904109589041,0.333333333333,0.999927520752,0.0
4,8,141,0,3,5,0.965753424658,0.0,1.00016593933,0.0
5,8,144,0,3,2,0.986301369863,0.0,0.999927520752,1.00016593933
6,8,142,0,2,4,0.972602739726,0.0,0.999927520752,0.0
7,8,135,0,2,11,0.924657534247,0.0,0.999927520752,0.0
8,8,0,2,0,145,0.0,1.0,0.999927520752,0.0
9,8,98,2,0,47,0.675862068966,1.0,0.999927520752,0.0
10,8,0,2,0,145,0.0,1.0,0.999927520752,0.0
1,11,145,0,3,1,0.993150684932,0.0,2.00009346008,0.0
2,11,138,1,2,8,0.945205479452,0.333333333333,0.999927520752,1.00016593933
3,11,132,1,2,14,0.904109589041,0.333333333333,2.00009346008,0.0
4,11,141,0,3,5,0.965753424658,0.0,1.00016593933,0.0
5,11,144,0,3,2,0.986301369863,0.0,1.9998550415,0.0
6,11,142,0,2,4,0.972602739726,0.0,0.999927520752,0.0
7,11,135,0,2,11,0.924657534247,0.0,0.999927520752,0.0
8,11,0,2,0,145,0.0,1.0,0.999927520752,0.0
9,11,98,2,0,47,0.675862068966,1.0,0.999927520752,0.0
10,11,0,2,0,145,0.0,1.0,1.9998550415,0.0
1,14,145,0,3,1,0.993150684932,0.0,1.00016593933,0.0
2,14,138,1,2,8,0.945205479452,0.333333333333,0.999927520752,0.0
3,14,132,1,2,14,0.904109589041,0.333333333333,2.00009346008,0.0
4,14,141,0,3,5,0.965753424658,0.0,2.00009346008,0.0
5,14,144,0,3,2,0.986301369863,0.0,1.00016593933,0.0
6,14,142,0,2,4,0.972602739726,0.0,0.999927520752,0.0
7,14,135,0,2,11,0.924657534247,0.0,2.00009346008,0.0
8,14,0,2,0,145,0.0,1.0,0.999927520752,1.00016593933
9,14,98,2,0,47,0.675862068966,1.0,1.00016593933,0.0
10,14,0,2,0,145,0.0,1.0,0.999927520752,0.0
1,17,145,0,3,1,0.993150684932,0.0,0.999927520752,0.0
2,17,138,1,2,8,0.945205479452,0.333333333333,0.999927520752,0.0
3,17,132,1,2,14,0.904109589041,0.333333333333,1.00016593933,0.0
4,17,141,0,3,5,0.965753424658,0.0,0.999927520752,0.0
5,17,144,0,3,2,0.986301369863,0.0,2.00009346008,0.0
6,17,142,0,2,4,0.972602739726,0.0,0.999927520752,0.0
7,17,135,0,2,11,0.924657534247,0.0,1.00016593933,0.0
8,17,0,2,0,145,0.0,1.0,0.999927520752,1.00016593933
9,17,98,2,0,47,0.675862068966,1.0,0.999927520752,0.0
10,17,0,2,0,145,0.0,1.0,1.9998550415,0.0
