Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,113,3,0,33,0.77397260274,1.0,1.9998550415,0.0
2,5,124,1,2,22,0.849315068493,0.333333333333,1.9998550415,0.0
3,5,119,2,1,27,0.815068493151,0.666666666667,2.00009346008,0.999927520752
4,5,116,2,1,30,0.794520547945,0.666666666667,2.00009346008,0.0
5,5,107,2,1,39,0.732876712329,0.666666666667,1.9998550415,0.0
6,5,102,1,1,44,0.698630136986,0.5,2.00009346008,0.0
7,5,123,0,2,23,0.842465753425,0.0,2.00009346008,0.0
8,5,111,0,2,34,0.765517241379,0.0,2.00009346008,0.0
9,5,114,2,0,31,0.786206896552,1.0,1.9998550415,0.0
10,5,116,2,0,29,0.8,1.0,1.9998550415,0.0
1,8,113,3,0,33,0.77397260274,1.0,1.9998550415,0.0
2,8,124,1,2,22,0.849315068493,0.333333333333,1.9998550415,0.0
3,8,119,2,1,27,0.815068493151,0.666666666667,1.9998550415,0.0
4,8,116,2,1,30,0.794520547945,0.666666666667,2.00009346008,0.0
5,8,107,2,1,39,0.732876712329,0.666666666667,2.00009346008,0.0
6,8,102,1,1,44,0.698630136986,0.5,2.00009346008,0.0
7,8,123,0,2,23,0.842465753425,0.0,1.9998550415,0.0
8,8,111,0,2,34,0.765517241379,0.0,2.00009346008,0.0
9,8,114,2,0,31,0.786206896552,1.0,2.00009346008,0.0
10,8,116,2,0,29,0.8,1.0,2.00009346008,0.999927520752
1,11,113,3,0,33,0.77397260274,1.0,2.00009346008,0.0
2,11,124,1,2,22,0.849315068493,0.333333333333,2.00009346008,0.0
3,11,119,2,1,27,0.815068493151,0.666666666667,2.00009346008,0.0
4,11,116,2,1,30,0.794520547945,0.666666666667,1.9998550415,0.0
5,11,107,2,1,39,0.732876712329,0.666666666667,1.9998550415,0.0
6,11,102,1,1,44,0.698630136986,0.5,2.00009346008,0.0
7,11,123,0,2,23,0.842465753425,0.0,2.00009346008,0.0
8,11,111,0,2,34,0.765517241379,0.0,1.9998550415,0.0
9,11,114,2,0,31,0.786206896552,1.0,2.00009346008,0.0
10,11,116,2,0,29,0.8,1.0,2.00009346008,0.0
1,14,113,3,0,33,0.77397260274,1.0,1.9998550415,0.0
2,14,124,1,2,22,0.849315068493,0.333333333333,2.00009346008,0.0
3,14,119,2,1,27,0.815068493151,0.666666666667,2.00009346008,0.0
4,14,116,2,1,30,0.794520547945,0.666666666667,1.9998550415,0.0
5,14,107,2,1,39,0.732876712329,0.666666666667,1.9998550415,0.0
6,14,102,1,1,44,0.698630136986,0.5,2.00009346008,0.0
7,14,123,0,2,23,0.842465753425,0.0,2.00009346008,0.0
8,14,111,0,2,34,0.765517241379,0.0,2.00009346008,0.0
9,14,114,2,0,31,0.786206896552,1.0,1.9998550415,0.0
10,14,116,2,0,29,0.8,1.0,1.9998550415,0.0
1,17,113,3,0,33,0.77397260274,1.0,2.00009346008,0.0
2,17,124,1,2,22,0.849315068493,0.333333333333,2.00009346008,0.0
3,17,119,2,1,27,0.815068493151,0.666666666667,1.9998550415,0.0
4,17,116,2,1,30,0.794520547945,0.666666666667,3.00002098083,0.0
5,17,107,2,1,39,0.732876712329,0.666666666667,2.00009346008,0.0
6,17,102,1,1,44,0.698630136986,0.5,2.00009346008,0.0
7,17,123,0,2,23,0.842465753425,0.0,1.9998550415,0.0
8,17,111,0,2,34,0.765517241379,0.0,3.00002098083,0.0
9,17,114,2,0,31,0.786206896552,1.0,2.00009346008,0.999927520752
10,17,116,2,0,29,0.8,1.0,2.00009346008,0.999927520752
