Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,100,1,2,46,0.684931506849,0.333333333333,66.999912262,0.0
2,5,94,1,2,52,0.643835616438,0.333333333333,71.0000991821,0.0
3,5,81,1,2,65,0.554794520548,0.333333333333,66.999912262,0.0
4,5,84,2,1,62,0.575342465753,0.666666666667,65.9999847412,0.0
5,5,113,1,2,33,0.77397260274,0.333333333333,67.0001506805,0.999927520752
6,5,94,2,0,52,0.643835616438,1.0,65.9999847412,0.0
7,5,105,0,2,41,0.719178082192,0.0,69.000005722,0.999927520752
8,5,120,0,2,25,0.827586206897,0.0,68.0000782013,0.0
9,5,104,1,1,41,0.71724137931,0.5,69.000005722,0.0
10,5,102,2,0,43,0.703448275862,1.0,65.9999847412,1.00016593933
1,8,100,1,2,46,0.684931506849,0.333333333333,66.999912262,0.999927520752
2,8,94,1,2,52,0.643835616438,0.333333333333,65.9999847412,0.999927520752
3,8,81,1,2,65,0.554794520548,0.333333333333,66.999912262,0.0
4,8,84,2,1,62,0.575342465753,0.666666666667,65.9999847412,0.999927520752
5,8,113,1,2,33,0.77397260274,0.333333333333,65.9999847412,0.999927520752
6,8,94,2,0,52,0.643835616438,1.0,65.9999847412,0.0
7,8,105,0,2,41,0.719178082192,0.0,68.0000782013,0.999927520752
8,8,120,0,2,25,0.827586206897,0.0,67.0001506805,0.999927520752
9,8,104,1,1,41,0.71724137931,0.5,69.000005722,0.0
10,8,102,2,0,43,0.703448275862,1.0,65.9999847412,1.00016593933
1,11,100,1,2,46,0.684931506849,0.333333333333,69.000005722,0.999927520752
2,11,94,1,2,52,0.643835616438,0.333333333333,68.0000782013,0.999927520752
3,11,81,1,2,65,0.554794520548,0.333333333333,66.999912262,0.999927520752
4,11,84,2,1,62,0.575342465753,0.666666666667,66.999912262,1.00016593933
5,11,113,1,2,33,0.77397260274,0.333333333333,67.9998397827,0.0
6,11,94,2,0,52,0.643835616438,1.0,67.0001506805,0.0
7,11,105,0,2,41,0.719178082192,0.0,69.9999332428,1.00016593933
8,11,120,0,2,25,0.827586206897,0.0,69.000005722,0.999927520752
9,11,104,1,1,41,0.71724137931,0.5,72.9999542236,0.0
10,11,102,2,0,43,0.703448275862,1.0,68.0000782013,0.999927520752
1,14,100,1,2,46,0.684931506849,0.333333333333,67.9998397827,0.0
2,14,94,1,2,52,0.643835616438,0.333333333333,65.9999847412,1.00016593933
3,14,81,1,2,65,0.554794520548,0.333333333333,66.999912262,0.0
4,14,84,2,1,62,0.575342465753,0.666666666667,66.999912262,0.0
5,14,113,1,2,33,0.77397260274,0.333333333333,67.0001506805,0.999927520752
6,14,94,2,0,52,0.643835616438,1.0,65.9999847412,0.999927520752
7,14,105,0,2,41,0.719178082192,0.0,69.000005722,0.0
8,14,120,0,2,25,0.827586206897,0.0,68.0000782013,0.0
9,14,104,1,1,41,0.71724137931,0.5,69.000005722,0.999927520752
10,14,102,2,0,43,0.703448275862,1.0,66.0002231598,0.999927520752
1,17,100,1,2,46,0.684931506849,0.333333333333,66.999912262,0.999927520752
2,17,94,1,2,52,0.643835616438,0.333333333333,67.0001506805,0.0
3,17,81,1,2,65,0.554794520548,0.333333333333,65.9999847412,1.00016593933
4,17,84,2,1,62,0.575342465753,0.666666666667,65.9999847412,1.00016593933
5,17,113,1,2,33,0.77397260274,0.333333333333,67.9998397827,1.00016593933
6,17,94,2,0,52,0.643835616438,1.0,65.9999847412,0.999927520752
7,17,105,0,2,41,0.719178082192,0.0,69.000005722,0.0
8,17,120,0,2,25,0.827586206897,0.0,66.999912262,0.0
9,17,104,1,1,41,0.71724137931,0.5,69.000005722,0.999927520752
10,17,102,2,0,43,0.703448275862,1.0,65.9999847412,0.999927520752
