Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,62,17,0,71,0.466165413534,1.0,11324.0001202,23.9999294281
2,5,95,17,0,37,0.719696969697,1.0,13781.9998264,19.0000534058
3,5,99,16,1,33,0.75,0.941176470588,18705.9998512,17.0001983643
4,5,108,16,0,24,0.818181818182,1.0,16467.0000076,16.0000324249
5,5,126,14,2,6,0.954545454545,0.875,11051.0001183,13.0000114441
6,5,122,14,2,10,0.924242424242,0.875,17611.9999886,13.9999389648
7,5,128,15,1,4,0.969696969697,0.9375,18521.999836,13.0000114441
8,5,126,14,2,6,0.954545454545,0.875,17829.9999237,13.0000114441
9,5,129,11,5,3,0.977272727273,0.6875,10934.9999428,12.0000839233
10,5,72,16,0,60,0.545454545455,1.0,14411.0000134,22.0000743866
1,8,62,17,0,71,0.466165413534,1.0,13532.0000648,35.0000858307
2,8,95,17,0,37,0.719696969697,1.0,17818.0000782,25.0000953674
3,8,99,16,1,33,0.75,0.941176470588,26309.0000153,23.0000019073
4,8,108,16,0,24,0.818181818182,1.0,22411.0000134,20.9999084473
5,8,126,14,2,6,0.954545454545,0.875,13127.0000935,14.9998664856
6,8,122,14,2,10,0.924242424242,0.875,24294.0001488,16.9999599457
7,8,128,15,1,4,0.969696969697,0.9375,26077.0001411,14.9998664856
8,8,126,14,2,6,0.954545454545,0.875,24692.9998398,16.0000324249
9,8,129,11,5,3,0.977272727273,0.6875,12851.0000706,13.9999389648
10,8,72,16,0,60,0.545454545455,1.0,18975.9998322,31.0001373291
1,11,62,17,0,71,0.466165413534,1.0,15725.9998322,45.0000762939
2,11,95,17,0,37,0.719696969697,1.0,21666.9998169,32.0000648499
3,11,99,16,1,33,0.75,0.941176470588,33960.0000381,29.000043869
4,11,108,16,0,24,0.818181818182,1.0,28250.0,25.0000953674
5,11,126,14,2,6,0.954545454545,0.875,15131.000042,16.9999599457
6,11,122,14,2,10,0.924242424242,0.875,31029.0000439,19.9999809265
7,11,128,15,1,4,0.969696969697,0.9375,33543.9999104,16.9999599457
8,11,126,14,2,6,0.954545454545,0.875,31622.9999065,18.000125885
9,11,129,11,5,3,0.977272727273,0.6875,14752.0000935,14.9998664856
10,11,72,16,0,60,0.545454545455,1.0,23279.9999714,41.0001277924
1,14,62,17,0,71,0.466165413534,1.0,17885.999918,53.9999008179
2,14,95,17,0,37,0.719696969697,1.0,25500.9999275,38.0001068115
3,14,99,16,1,33,0.75,0.941176470588,41295.0000763,34.9998474121
4,14,108,16,0,24,0.818181818182,1.0,34080.0001621,30.9998989105
5,14,126,14,2,6,0.954545454545,0.875,16967.0000076,19.9999809265
6,14,122,14,2,10,0.924242424242,0.875,37786.9999409,22.0000743866
7,14,128,15,1,4,0.969696969697,0.9375,40973.0000496,19.9999809265
8,14,126,14,2,6,0.954545454545,0.875,38553.9999008,20.9999084473
9,14,129,11,5,3,0.977272727273,0.6875,16635.999918,16.9999599457
10,14,72,16,0,60,0.545454545455,1.0,27819.0000057,49.9999523163
1,17,62,17,0,71,0.466165413534,1.0,19945.9998608,65.9999847412
2,17,95,17,0,37,0.719696969697,1.0,29409.9998474,44.0001487732
3,17,99,16,1,33,0.75,0.941176470588,48888.0000114,39.999961853
4,17,108,16,0,24,0.818181818182,1.0,39996.999979,35.0000858307
5,17,126,14,2,6,0.954545454545,0.875,19141.9999599,23.0000019073
6,17,122,14,2,10,0.924242424242,0.875,44608.0000401,26.0000228882
7,17,128,15,1,4,0.969696969697,0.9375,48240.0000095,21.999835968
8,17,126,14,2,6,0.954545454545,0.875,45434.9999428,23.0000019073
9,17,129,11,5,3,0.977272727273,0.6875,18520.9999084,19.0000534058
10,17,72,16,0,60,0.545454545455,1.0,32116.0001755,56.9999217987
