Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,23,17,0,110,0.172932330827,1.0,50786.9999409,29.9999713898
2,5,76,17,0,56,0.575757575758,1.0,50217.9999352,22.0000743866
3,5,101,16,1,31,0.765151515152,0.941176470588,74500.0,17.9998874664
4,5,126,12,4,6,0.954545454545,0.75,51187.9999638,11.9998455048
5,5,125,13,3,7,0.94696969697,0.8125,37213.0000591,13.0000114441
6,5,118,16,0,14,0.893939393939,1.0,58944.9999332,15.0001049042
7,5,129,9,7,3,0.977272727273,0.5625,57868.999958,10.999917984
8,5,126,13,3,6,0.954545454545,0.8125,62369.9998856,13.0000114441
9,5,124,13,3,8,0.939393939394,0.8125,41134.9999905,13.0000114441
10,5,69,16,0,63,0.522727272727,1.0,55781.9998264,22.0000743866
1,8,23,17,0,110,0.172932330827,1.0,68822.9999542,45.0000762939
2,8,76,17,0,56,0.575757575758,1.0,68052.9999733,30.0002098083
3,8,101,16,1,31,0.765151515152,0.941176470588,110062.999964,23.0000019073
4,8,126,12,4,6,0.954545454545,0.75,69726.0000706,15.0001049042
5,8,125,13,3,7,0.94696969697,0.8125,45569.0000057,14.9998664856
6,8,118,16,0,14,0.893939393939,1.0,83200.9999752,18.000125885
7,8,129,9,7,3,0.977272727273,0.5625,81037.9998684,14.0001773834
8,8,126,13,3,6,0.954545454545,0.8125,89177.9999733,16.0000324249
9,8,124,13,3,8,0.939393939394,0.8125,52453.0000687,14.9998664856
10,8,69,16,0,63,0.522727272727,1.0,77692.9998398,31.0001373291
1,11,23,17,0,110,0.172932330827,1.0,87401.9999504,59.0000152588
2,11,76,17,0,56,0.575757575758,1.0,86162.9998684,38.0001068115
3,11,101,16,1,31,0.765151515152,0.941176470588,145918.99991,29.000043869
4,11,126,12,4,6,0.954545454545,0.75,88501.999855,16.9999599457
5,11,125,13,3,7,0.94696969697,0.8125,53734.9998951,18.000125885
6,11,118,16,0,14,0.893939393939,1.0,108222.000122,21.999835968
7,11,129,9,7,3,0.977272727273,0.5625,104422.999859,13.9999389648
8,11,126,13,3,6,0.954545454545,0.8125,116129.999876,17.0001983643
9,11,124,13,3,8,0.939393939394,0.8125,63661.0000134,19.9999809265
10,11,69,16,0,63,0.522727272727,1.0,99940.9999847,41.0001277924
1,14,23,17,0,110,0.172932330827,1.0,105697.999954,75.0000476837
2,14,76,17,0,56,0.575757575758,1.0,104003.999949,47.000169754
3,14,101,16,1,31,0.765151515152,0.941176470588,181533.99992,32.9999923706
4,14,126,12,4,6,0.954545454545,0.75,106700.999975,19.9999809265
5,14,125,13,3,7,0.94696969697,0.8125,61942.0001507,19.9999809265
6,14,118,16,0,14,0.893939393939,1.0,131843.999863,25.0000953674
7,14,129,9,7,3,0.977272727273,0.5625,127790.999889,16.0000324249
8,14,126,13,3,6,0.954545454545,0.8125,142490.00001,19.9999809265
9,14,124,13,3,8,0.939393939394,0.8125,74847.9998112,21.0001468658
10,14,69,16,0,63,0.522727272727,1.0,121927.000046,49.9999523163
1,17,23,17,0,110,0.172932330827,1.0,123871.000051,90.0001525879
2,17,76,17,0,56,0.575757575758,1.0,121273.999929,55.0000667572
3,17,101,16,1,31,0.765151515152,0.941176470588,216154.999971,39.0000343323
4,17,126,12,4,6,0.954545454545,0.75,125342.000008,20.9999084473
5,17,125,13,3,7,0.94696969697,0.8125,70107.0001125,22.0000743866
6,17,118,16,0,14,0.893939393939,1.0,156018.000126,28.9998054504
7,17,129,9,7,3,0.977272727273,0.5625,150728.999853,18.000125885
8,17,126,13,3,6,0.954545454545,0.8125,169701.999903,22.0000743866
9,17,124,13,3,8,0.939393939394,0.8125,85674.0000248,23.0000019073
10,17,69,16,0,63,0.522727272727,1.0,143657.999992,59.9999427795
