Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,117,16,1,16,0.87969924812,0.941176470588,15721.9998837,16.0000324249
2,5,120,14,3,12,0.909090909091,0.823529411765,15281.9998264,15.0001049042
3,5,114,15,2,18,0.863636363636,0.882352941176,15257.999897,16.0000324249
4,5,116,13,3,16,0.878787878788,0.8125,15184.0000153,15.0001049042
5,5,121,14,2,11,0.916666666667,0.875,15528.0001163,14.9998664856
6,5,121,15,1,11,0.916666666667,0.9375,15592.9999352,15.0001049042
7,5,125,15,1,7,0.94696969697,0.9375,15640.0001049,13.9999389648
8,5,122,14,2,10,0.924242424242,0.875,15418.9999104,13.9999389648
9,5,120,14,2,12,0.909090909091,0.875,15677.0000458,14.9998664856
10,5,111,15,1,21,0.840909090909,0.9375,15273.9999294,16.0000324249
1,8,117,16,1,16,0.87969924812,0.941176470588,19957.0000172,19.9999809265
2,8,120,14,3,12,0.909090909091,0.823529411765,19700.0000477,18.000125885
3,8,114,15,2,18,0.863636363636,0.882352941176,19683.0000877,19.9999809265
4,8,116,13,3,16,0.878787878788,0.8125,19797.0001698,18.9998149872
5,8,121,14,2,11,0.916666666667,0.875,19632.999897,18.000125885
6,8,121,15,1,11,0.916666666667,0.9375,19525.0000954,17.9998874664
7,8,125,15,1,7,0.94696969697,0.9375,19839.9999142,16.0000324249
8,8,122,14,2,10,0.924242424242,0.875,19336.9998932,18.000125885
9,8,120,14,2,12,0.909090909091,0.875,20851.0000706,18.000125885
10,8,111,15,1,21,0.840909090909,0.9375,22111.000061,19.9999809265
1,11,117,16,1,16,0.87969924812,0.941176470588,23205.0001621,23.9999294281
2,11,120,14,3,12,0.909090909091,0.823529411765,23379.0001869,20.9999084473
3,11,114,15,2,18,0.863636363636,0.882352941176,23470.9999561,23.9999294281
4,11,116,13,3,16,0.878787878788,0.8125,23126.999855,23.0000019073
5,11,121,14,2,11,0.916666666667,0.875,23876.999855,20.0002193451
6,11,121,15,1,11,0.916666666667,0.9375,23647.0000744,20.9999084473
7,11,125,15,1,7,0.94696969697,0.9375,24355.9999466,23.0000019073
8,11,122,14,2,10,0.924242424242,0.875,23504.999876,21.0001468658
9,11,120,14,2,12,0.909090909091,0.875,23541.0001278,21.999835968
10,11,111,15,1,21,0.840909090909,0.9375,23333.9998722,25.0000953674
1,14,117,16,1,16,0.87969924812,0.941176470588,27342.0000076,26.9999504089
2,14,120,14,3,12,0.909090909091,0.823529411765,27255.9998035,25.0000953674
3,14,114,15,2,18,0.863636363636,0.882352941176,27412.9998684,28.0001163483
4,14,116,13,3,16,0.878787878788,0.8125,27283.0002308,24.9998569489
5,14,121,14,2,11,0.916666666667,0.875,27898.0000019,23.9999294281
6,14,121,15,1,11,0.916666666667,0.9375,27902.9998779,23.0000019073
7,14,125,15,1,7,0.94696969697,0.9375,27824.0001202,21.999835968
8,14,122,14,2,10,0.924242424242,0.875,27342.9999352,22.0000743866
9,14,120,14,2,12,0.909090909091,0.875,27668.9999104,24.0001678467
10,14,111,15,1,21,0.840909090909,0.9375,27025.0000954,29.9999713898
1,17,117,16,1,16,0.87969924812,0.941176470588,32040.9998894,32.9999923706
2,17,120,14,3,12,0.909090909091,0.823529411765,32052.9999733,30.9998989105
3,17,114,15,2,18,0.863636363636,0.882352941176,32105.0000191,32.9999923706
4,17,116,13,3,16,0.878787878788,0.8125,32464.9999142,29.000043869
5,17,121,14,2,11,0.916666666667,0.875,33047.9998589,28.0001163483
6,17,121,15,1,11,0.916666666667,0.9375,32684.0000153,27.0001888275
7,17,125,15,1,7,0.94696969697,0.9375,32644.0000534,26.0000228882
8,17,122,14,2,10,0.924242424242,0.875,32253.9999485,26.9999504089
9,17,120,14,2,12,0.909090909091,0.875,32437.0000362,27.9998779297
10,17,111,15,1,21,0.840909090909,0.9375,31500.9999275,33.9999198914
