Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,45,17,0,88,0.338345864662,1.0,5161.00001335,26.9999504089
2,5,93,17,0,39,0.704545454545,1.0,6240.99993706,19.0000534058
3,5,95,16,1,37,0.719696969697,0.941176470588,9357.00011253,18.9998149872
4,5,108,16,0,24,0.818181818182,1.0,7224.99990463,16.0000324249
5,5,125,15,1,7,0.94696969697,0.9375,5121.0000515,13.9999389648
6,5,112,16,0,20,0.848484848485,1.0,8082.00001717,15.0001049042
7,5,127,15,1,5,0.962121212121,0.9375,8120.00012398,13.9999389648
8,5,123,15,1,9,0.931818181818,0.9375,7861.00006104,13.0000114441
9,5,128,12,4,4,0.969696969697,0.75,5117.9997921,13.0000114441
10,5,97,16,0,35,0.734848484848,1.0,6301.99980736,17.0001983643
1,8,45,17,0,88,0.338345864662,1.0,6189.9998188,39.0000343323
2,8,93,17,0,39,0.704545454545,1.0,8023.99992943,25.0000953674
3,8,95,16,1,37,0.719696969697,0.941176470588,13434.9999428,25.0000953674
4,8,108,16,0,24,0.818181818182,1.0,9839.99991417,21.0001468658
5,8,125,15,1,7,0.94696969697,0.9375,6136.0001564,15.9997940063
6,8,112,16,0,20,0.848484848485,1.0,11136.9998455,19.0000534058
7,8,127,15,1,5,0.962121212121,0.9375,11281.9998264,15.0001049042
8,8,123,15,1,9,0.931818181818,0.9375,10827.0001411,16.0000324249
9,8,128,12,4,4,0.969696969697,0.75,6101.99999809,13.9999389648
10,8,97,16,0,35,0.734848484848,1.0,8062.00003624,23.9999294281
1,11,45,17,0,88,0.338345864662,1.0,7282.99999237,51.0001182556
2,11,93,17,0,39,0.704545454545,1.0,9858.00004005,39.999961853
3,11,95,16,1,37,0.719696969697,0.941176470588,17629.999876,31.0001373291
4,11,108,16,0,24,0.818181818182,1.0,12330.0001621,27.9998779297
5,11,125,15,1,7,0.94696969697,0.9375,7191.00022316,17.9998874664
6,11,112,16,0,20,0.848484848485,1.0,14387.999773,25.0000953674
7,11,127,15,1,5,0.962121212121,0.9375,14600.0001431,17.9998874664
8,11,123,15,1,9,0.931818181818,0.9375,13868.0000305,19.9999809265
9,11,128,12,4,4,0.969696969697,0.75,7151.99995041,16.9999599457
10,11,97,16,0,35,0.734848484848,1.0,9884.99999046,32.0000648499
1,14,45,17,0,88,0.338345864662,1.0,8247.99990654,64.0001296997
2,14,93,17,0,39,0.704545454545,1.0,11702.0001411,38.9997959137
3,14,95,16,1,37,0.719696969697,0.941176470588,21654.9999714,39.0000343323
4,14,108,16,0,24,0.818181818182,1.0,14891.9999599,29.9999713898
5,14,125,15,1,7,0.94696969697,0.9375,8200.00004768,20.9999084473
6,14,112,16,0,20,0.848484848485,1.0,17460.9999657,27.9998779297
7,14,127,15,1,5,0.962121212121,0.9375,17804.9998283,22.0000743866
8,14,123,15,1,9,0.931818181818,0.9375,16843.0001736,21.999835968
9,14,128,12,4,4,0.969696969697,0.75,8130.99980354,18.000125885
10,14,97,16,0,35,0.734848484848,1.0,11710.9999657,36.0000133514
1,17,45,17,0,88,0.338345864662,1.0,9409.99984741,77.0001411438
2,17,93,17,0,39,0.704545454545,1.0,13703.0000687,46.9999313354
3,17,95,16,1,37,0.719696969697,0.941176470588,26169.9998379,44.0001487732
4,17,108,16,0,24,0.818181818182,1.0,17745.000124,34.9998474121
5,17,125,15,1,7,0.94696969697,0.9375,9417.00005531,24.9998569489
6,17,112,16,0,20,0.848484848485,1.0,21060.9998703,34.0001583099
7,17,127,15,1,5,0.962121212121,0.9375,21372.9999065,23.9999294281
8,17,123,15,1,9,0.931818181818,0.9375,20243.999958,26.0000228882
9,17,128,12,4,4,0.969696969697,0.75,9249.00007248,19.9999809265
10,17,97,16,0,35,0.734848484848,1.0,13786.9999409,42.0000553131
