Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,119,16,1,14,0.894736842105,0.941176470588,22167.9999828,22.0000743866
2,5,121,14,3,11,0.916666666667,0.823529411765,22087.9998207,19.0000534058
3,5,115,15,2,17,0.871212121212,0.882352941176,22198.9998817,22.0000743866
4,5,113,13,3,19,0.856060606061,0.8125,21936.0001087,22.0000743866
5,5,122,14,2,10,0.924242424242,0.875,22812.9999638,19.0000534058
6,5,123,14,2,9,0.931818181818,0.875,22327.0001411,17.9998874664
7,5,125,15,1,7,0.94696969697,0.9375,22677.9999733,19.0000534058
8,5,121,15,1,11,0.916666666667,0.9375,22368.0000305,19.0000534058
9,5,120,14,2,12,0.909090909091,0.875,22262.0000839,19.0000534058
10,5,112,15,1,20,0.848484848485,0.9375,21983.9999676,20.9999084473
1,8,119,16,1,14,0.894736842105,0.941176470588,29824.0001202,26.9999504089
2,8,121,14,3,11,0.916666666667,0.823529411765,29578.9999962,23.0000019073
3,8,115,15,2,17,0.871212121212,0.882352941176,30042.9999828,26.9999504089
4,8,113,13,3,19,0.856060606061,0.8125,29532.9999924,28.0001163483
5,8,122,14,2,10,0.924242424242,0.875,30388.999939,23.0000019073
6,8,123,14,2,9,0.931818181818,0.875,30039.9999619,22.0000743866
7,8,125,15,1,7,0.94696969697,0.9375,30605.9999466,23.0000019073
8,8,121,15,1,11,0.916666666667,0.9375,30230.0000191,25.0000953674
9,8,120,14,2,12,0.909090909091,0.875,30049.9999523,25.0000953674
10,8,112,15,1,20,0.848484848485,0.9375,29541.0001278,27.9998779297
1,11,119,16,1,14,0.894736842105,0.941176470588,38991.9998646,35.0000858307
2,11,121,14,3,11,0.916666666667,0.823529411765,38638.0000114,30.9998989105
3,11,115,15,2,17,0.871212121212,0.882352941176,38983.9999676,32.9999923706
4,11,113,13,3,19,0.856060606061,0.8125,38443.0000782,36.0000133514
5,11,122,14,2,10,0.924242424242,0.875,39975.9998322,28.0001163483
6,11,123,14,2,9,0.931818181818,0.875,39309.9999428,29.000043869
7,11,125,15,1,7,0.94696969697,0.9375,40100.0001431,27.9998779297
8,11,121,15,1,11,0.916666666667,0.9375,38762.0000839,29.9999713898
9,11,120,14,2,12,0.909090909091,0.875,37835.9999657,29.9999713898
10,11,112,15,1,20,0.848484848485,0.9375,37396.999836,35.0000858307
1,14,119,16,1,14,0.894736842105,0.941176470588,45395.0002193,38.9997959137
2,14,121,14,3,11,0.916666666667,0.823529411765,44687.0000362,32.9999923706
3,14,115,15,2,17,0.871212121212,0.882352941176,45288.0001068,37.9998683929
4,14,113,13,3,19,0.856060606061,0.8125,44901.0000229,42.0000553131
5,14,122,14,2,10,0.924242424242,0.875,46221.9998837,32.0000648499
6,14,123,14,2,9,0.931818181818,0.875,45496.999979,31.9998264313
7,14,125,15,1,7,0.94696969697,0.9375,46556.9999218,32.0000648499
8,14,121,15,1,11,0.916666666667,0.9375,45504.0001869,32.9999923706
9,14,120,14,2,12,0.909090909091,0.875,45288.0001068,32.9999923706
10,14,112,15,1,20,0.848484848485,0.9375,44680.0000668,41.0001277924
1,17,119,16,1,14,0.894736842105,0.941176470588,53128.9999485,44.0001487732
2,17,121,14,3,11,0.916666666667,0.823529411765,52332.0000172,36.0000133514
3,17,115,15,2,17,0.871212121212,0.882352941176,53463.0000591,43.9999103546
4,17,113,13,3,19,0.856060606061,0.8125,52135.999918,46.0000038147
5,17,122,14,2,10,0.924242424242,0.875,54351.9999981,36.0000133514
6,17,123,14,2,9,0.931818181818,0.875,53297.0001698,36.0000133514
7,17,125,15,1,7,0.94696969697,0.9375,54355.0000191,36.0000133514
8,17,121,15,1,11,0.916666666667,0.9375,53123.000145,39.0000343323
9,17,120,14,2,12,0.909090909091,0.875,53144.9999809,38.0001068115
10,17,112,15,1,20,0.848484848485,0.9375,52074.9998093,47.000169754
