Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,121,15,2,12,0.90977443609,0.882352941176,2.00009346008,0.0
2,5,122,13,4,10,0.924242424242,0.764705882353,0.999927520752,0.0
3,5,130,8,9,2,0.984848484848,0.470588235294,0.999927520752,0.0
4,5,121,13,3,11,0.916666666667,0.8125,0.999927520752,0.0
5,5,129,13,3,3,0.977272727273,0.8125,1.9998550415,0.0
6,5,130,12,4,2,0.984848484848,0.75,1.00016593933,0.0
7,5,114,15,1,18,0.863636363636,0.9375,0.999927520752,0.0
8,5,113,16,0,19,0.856060606061,1.0,1.00016593933,0.0
9,5,126,12,4,6,0.954545454545,0.75,1.00016593933,0.0
10,5,131,6,10,1,0.992424242424,0.375,0.999927520752,1.00016593933
1,8,121,15,2,12,0.90977443609,0.882352941176,0.999927520752,0.0
2,8,122,13,4,10,0.924242424242,0.764705882353,0.999927520752,0.0
3,8,130,8,9,2,0.984848484848,0.470588235294,1.00016593933,0.0
4,8,121,13,3,11,0.916666666667,0.8125,1.00016593933,0.0
5,8,129,13,3,3,0.977272727273,0.8125,0.999927520752,0.0
6,8,130,12,4,2,0.984848484848,0.75,1.00016593933,0.0
7,8,114,15,1,18,0.863636363636,0.9375,0.999927520752,0.0
8,8,113,16,0,19,0.856060606061,1.0,2.00009346008,0.0
9,8,126,12,4,6,0.954545454545,0.75,0.999927520752,0.0
10,8,131,6,10,1,0.992424242424,0.375,0.999927520752,0.0
1,11,121,15,2,12,0.90977443609,0.882352941176,1.00016593933,0.0
2,11,122,13,4,10,0.924242424242,0.764705882353,1.00016593933,0.0
3,11,130,8,9,2,0.984848484848,0.470588235294,0.999927520752,0.0
4,11,121,13,3,11,0.916666666667,0.8125,2.00009346008,0.0
5,11,129,13,3,3,0.977272727273,0.8125,0.999927520752,0.0
6,11,130,12,4,2,0.984848484848,0.75,1.9998550415,0.0
7,11,114,15,1,18,0.863636363636,0.9375,0.999927520752,0.999927520752
8,11,113,16,0,19,0.856060606061,1.0,0.999927520752,0.0
9,11,126,12,4,6,0.954545454545,0.75,0.999927520752,0.999927520752
10,11,131,6,10,1,0.992424242424,0.375,0.999927520752,0.0
1,14,121,15,2,12,0.90977443609,0.882352941176,0.999927520752,0.0
2,14,122,13,4,10,0.924242424242,0.764705882353,0.999927520752,0.0
3,14,130,8,9,2,0.984848484848,0.470588235294,2.00009346008,0.0
4,14,121,13,3,11,0.916666666667,0.8125,2.00009346008,0.0
5,14,129,13,3,3,0.977272727273,0.8125,0.999927520752,0.0
6,14,130,12,4,2,0.984848484848,0.75,2.00009346008,0.0
7,14,114,15,1,18,0.863636363636,0.9375,0.999927520752,0.0
8,14,113,16,0,19,0.856060606061,1.0,0.999927520752,0.0
9,14,126,12,4,6,0.954545454545,0.75,1.00016593933,0.0
10,14,131,6,10,1,0.992424242424,0.375,0.999927520752,0.0
1,17,121,15,2,12,0.90977443609,0.882352941176,1.00016593933,0.999927520752
2,17,122,13,4,10,0.924242424242,0.764705882353,0.999927520752,0.0
3,17,130,8,9,2,0.984848484848,0.470588235294,0.999927520752,0.0
4,17,121,13,3,11,0.916666666667,0.8125,0.999927520752,0.0
5,17,129,13,3,3,0.977272727273,0.8125,0.999927520752,0.0
6,17,130,12,4,2,0.984848484848,0.75,1.9998550415,0.0
7,17,114,15,1,18,0.863636363636,0.9375,0.999927520752,0.0
8,17,113,16,0,19,0.856060606061,1.0,1.9998550415,0.0
9,17,126,12,4,6,0.954545454545,0.75,0.999927520752,0.0
10,17,131,6,10,1,0.992424242424,0.375,1.00016593933,0.0
