Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,114,17,0,19,0.857142857143,1.0,0.999927520752,0.0
2,5,120,15,2,12,0.909090909091,0.882352941176,0.999927520752,0.0
3,5,128,10,7,4,0.969696969697,0.588235294118,2.00009346008,0.0
4,5,119,14,2,13,0.901515151515,0.875,0.999927520752,0.0
5,5,127,13,3,5,0.962121212121,0.8125,0.999927520752,1.00016593933
6,5,128,12,4,4,0.969696969697,0.75,1.00016593933,0.0
7,5,126,15,1,6,0.954545454545,0.9375,1.00016593933,0.0
8,5,113,16,0,19,0.856060606061,1.0,1.00016593933,0.0
9,5,125,13,3,7,0.94696969697,0.8125,1.00016593933,0.0
10,5,131,5,11,1,0.992424242424,0.3125,1.00016593933,0.0
1,8,114,17,0,19,0.857142857143,1.0,0.999927520752,0.0
2,8,120,15,2,12,0.909090909091,0.882352941176,0.999927520752,1.00016593933
3,8,128,10,7,4,0.969696969697,0.588235294118,1.00016593933,0.999927520752
4,8,119,14,2,13,0.901515151515,0.875,1.9998550415,0.0
5,8,127,13,3,5,0.962121212121,0.8125,0.999927520752,0.999927520752
6,8,128,12,4,4,0.969696969697,0.75,0.999927520752,0.0
7,8,126,15,1,6,0.954545454545,0.9375,1.9998550415,0.0
8,8,113,16,0,19,0.856060606061,1.0,0.999927520752,0.999927520752
9,8,125,13,3,7,0.94696969697,0.8125,0.999927520752,0.0
10,8,131,5,11,1,0.992424242424,0.3125,1.00016593933,0.0
1,11,114,17,0,19,0.857142857143,1.0,1.00016593933,0.0
2,11,120,15,2,12,0.909090909091,0.882352941176,0.999927520752,0.0
3,11,128,10,7,4,0.969696969697,0.588235294118,0.999927520752,0.0
4,11,119,14,2,13,0.901515151515,0.875,0.999927520752,0.0
5,11,127,13,3,5,0.962121212121,0.8125,0.999927520752,0.0
6,11,128,12,4,4,0.969696969697,0.75,0.999927520752,0.0
7,11,126,15,1,6,0.954545454545,0.9375,1.9998550415,0.0
8,11,113,16,0,19,0.856060606061,1.0,0.999927520752,0.0
9,11,125,13,3,7,0.94696969697,0.8125,1.00016593933,0.0
10,11,131,5,11,1,0.992424242424,0.3125,0.999927520752,0.0
1,14,114,17,0,19,0.857142857143,1.0,1.00016593933,0.0
2,14,120,15,2,12,0.909090909091,0.882352941176,0.999927520752,0.0
3,14,128,10,7,4,0.969696969697,0.588235294118,0.999927520752,0.0
4,14,119,14,2,13,0.901515151515,0.875,1.00016593933,0.0
5,14,127,13,3,5,0.962121212121,0.8125,0.999927520752,0.0
6,14,128,12,4,4,0.969696969697,0.75,1.00016593933,0.0
7,14,126,15,1,6,0.954545454545,0.9375,1.00016593933,0.0
8,14,113,16,0,19,0.856060606061,1.0,0.999927520752,0.0
9,14,125,13,3,7,0.94696969697,0.8125,0.999927520752,0.0
10,14,131,5,11,1,0.992424242424,0.3125,0.999927520752,0.0
1,17,114,17,0,19,0.857142857143,1.0,1.9998550415,0.0
2,17,120,15,2,12,0.909090909091,0.882352941176,1.00016593933,0.999927520752
3,17,128,10,7,4,0.969696969697,0.588235294118,0.999927520752,0.0
4,17,119,14,2,13,0.901515151515,0.875,1.00016593933,0.0
5,17,127,13,3,5,0.962121212121,0.8125,0.999927520752,0.0
6,17,128,12,4,4,0.969696969697,0.75,2.00009346008,0.0
7,17,126,15,1,6,0.954545454545,0.9375,1.9998550415,0.0
8,17,113,16,0,19,0.856060606061,1.0,0.999927520752,1.00016593933
9,17,125,13,3,7,0.94696969697,0.8125,1.00016593933,0.0
10,17,131,5,11,1,0.992424242424,0.3125,0.999927520752,0.0
