Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,119,16,1,14,0.894736842105,0.941176470588,2.00009346008,0.0
2,5,121,15,2,11,0.916666666667,0.882352941176,2.00009346008,0.0
3,5,115,15,2,17,0.871212121212,0.882352941176,1.9998550415,1.00016593933
4,5,113,13,3,19,0.856060606061,0.8125,1.9998550415,0.0
5,5,121,14,2,11,0.916666666667,0.875,0.999927520752,0.999927520752
6,5,120,15,1,12,0.909090909091,0.9375,2.00009346008,0.0
7,5,125,15,1,7,0.94696969697,0.9375,2.00009346008,0.0
8,5,121,14,2,11,0.916666666667,0.875,1.9998550415,0.0
9,5,120,14,2,12,0.909090909091,0.875,2.00009346008,0.0
10,5,111,16,0,21,0.840909090909,1.0,2.00009346008,0.0
1,8,119,16,1,14,0.894736842105,0.941176470588,1.9998550415,0.0
2,8,121,15,2,11,0.916666666667,0.882352941176,1.9998550415,0.0
3,8,115,15,2,17,0.871212121212,0.882352941176,2.00009346008,0.0
4,8,113,13,3,19,0.856060606061,0.8125,2.00009346008,0.0
5,8,121,14,2,11,0.916666666667,0.875,2.00009346008,0.0
6,8,120,15,1,12,0.909090909091,0.9375,2.00009346008,0.999927520752
7,8,125,15,1,7,0.94696969697,0.9375,2.00009346008,0.0
8,8,121,14,2,11,0.916666666667,0.875,0.999927520752,1.00016593933
9,8,120,14,2,12,0.909090909091,0.875,46.9999313354,0.0
10,8,111,16,0,21,0.840909090909,1.0,1.9998550415,0.0
1,11,119,16,1,14,0.894736842105,0.941176470588,2.00009346008,0.0
2,11,121,15,2,11,0.916666666667,0.882352941176,2.00009346008,0.0
3,11,115,15,2,17,0.871212121212,0.882352941176,1.9998550415,0.0
4,11,113,13,3,19,0.856060606061,0.8125,1.9998550415,0.0
5,11,121,14,2,11,0.916666666667,0.875,1.9998550415,0.0
6,11,120,15,1,12,0.909090909091,0.9375,3.00002098083,0.0
7,11,125,15,1,7,0.94696969697,0.9375,1.9998550415,0.0
8,11,121,14,2,11,0.916666666667,0.875,0.999927520752,1.00016593933
9,11,120,14,2,12,0.909090909091,0.875,2.00009346008,0.0
10,11,111,16,0,21,0.840909090909,1.0,2.00009346008,0.0
1,14,119,16,1,14,0.894736842105,0.941176470588,2.00009346008,0.0
2,14,121,15,2,11,0.916666666667,0.882352941176,2.00009346008,0.0
3,14,115,15,2,17,0.871212121212,0.882352941176,2.00009346008,0.0
4,14,113,13,3,19,0.856060606061,0.8125,2.00009346008,0.0
5,14,121,14,2,11,0.916666666667,0.875,2.00009346008,0.0
6,14,120,15,1,12,0.909090909091,0.9375,1.9998550415,0.0
7,14,125,15,1,7,0.94696969697,0.9375,1.9998550415,0.0
8,14,121,14,2,11,0.916666666667,0.875,2.00009346008,0.0
9,14,120,14,2,12,0.909090909091,0.875,1.9998550415,0.0
10,14,111,16,0,21,0.840909090909,1.0,2.00009346008,0.0
1,17,119,16,1,14,0.894736842105,0.941176470588,2.00009346008,0.0
2,17,121,15,2,11,0.916666666667,0.882352941176,1.9998550415,0.0
3,17,115,15,2,17,0.871212121212,0.882352941176,2.00009346008,0.0
4,17,113,13,3,19,0.856060606061,0.8125,2.00009346008,0.999927520752
5,17,121,14,2,11,0.916666666667,0.875,8.00013542175,0.0
6,17,120,15,1,12,0.909090909091,0.9375,1.9998550415,0.0
7,17,125,15,1,7,0.94696969697,0.9375,2.00009346008,0.0
8,17,121,14,2,11,0.916666666667,0.875,1.9998550415,0.0
9,17,120,14,2,12,0.909090909091,0.875,2.00009346008,0.999927520752
10,17,111,16,0,21,0.840909090909,1.0,3.99994850159,0.0
