Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,110,17,0,23,0.827067669173,1.0,0.999927520752,0.0
2,5,117,16,1,15,0.886363636364,0.941176470588,1.9998550415,0.0
3,5,130,8,9,2,0.984848484848,0.470588235294,2.00009346008,0.0
4,5,120,13,3,12,0.909090909091,0.8125,1.9998550415,0.0
5,5,129,13,3,3,0.977272727273,0.8125,0.999927520752,1.00016593933
6,5,130,11,5,2,0.984848484848,0.6875,0.999927520752,0.0
7,5,127,15,1,5,0.962121212121,0.9375,1.00016593933,0.0
8,5,117,16,0,15,0.886363636364,1.0,2.00009346008,0.0
9,5,129,12,4,3,0.977272727273,0.75,2.00009346008,0.0
10,5,129,9,7,3,0.977272727273,0.5625,0.999927520752,0.0
1,8,110,17,0,23,0.827067669173,1.0,0.999927520752,0.0
2,8,117,16,1,15,0.886363636364,0.941176470588,0.999927520752,0.0
3,8,130,8,9,2,0.984848484848,0.470588235294,1.9998550415,0.0
4,8,120,13,3,12,0.909090909091,0.8125,0.999927520752,1.00016593933
5,8,129,13,3,3,0.977272727273,0.8125,0.999927520752,0.0
6,8,130,11,5,2,0.984848484848,0.6875,1.00016593933,0.0
7,8,127,15,1,5,0.962121212121,0.9375,0.999927520752,0.0
8,8,117,16,0,15,0.886363636364,1.0,0.999927520752,1.00016593933
9,8,129,12,4,3,0.977272727273,0.75,0.999927520752,0.0
10,8,129,9,7,3,0.977272727273,0.5625,1.00016593933,0.0
1,11,110,17,0,23,0.827067669173,1.0,1.00016593933,0.0
2,11,117,16,1,15,0.886363636364,0.941176470588,0.999927520752,0.0
3,11,130,8,9,2,0.984848484848,0.470588235294,0.999927520752,0.0
4,11,120,13,3,12,0.909090909091,0.8125,0.999927520752,0.0
5,11,129,13,3,3,0.977272727273,0.8125,1.00016593933,0.999927520752
6,11,130,11,5,2,0.984848484848,0.6875,1.00016593933,0.0
7,11,127,15,1,5,0.962121212121,0.9375,1.00016593933,0.0
8,11,117,16,0,15,0.886363636364,1.0,0.999927520752,0.999927520752
9,11,129,12,4,3,0.977272727273,0.75,2.00009346008,0.0
10,11,129,9,7,3,0.977272727273,0.5625,1.00016593933,0.0
1,14,110,17,0,23,0.827067669173,1.0,1.00016593933,0.0
2,14,117,16,1,15,0.886363636364,0.941176470588,0.999927520752,0.0
3,14,130,8,9,2,0.984848484848,0.470588235294,1.9998550415,0.0
4,14,120,13,3,12,0.909090909091,0.8125,0.999927520752,0.0
5,14,129,13,3,3,0.977272727273,0.8125,1.00016593933,0.0
6,14,130,11,5,2,0.984848484848,0.6875,0.999927520752,0.0
7,14,127,15,1,5,0.962121212121,0.9375,1.00016593933,0.0
8,14,117,16,0,15,0.886363636364,1.0,0.999927520752,0.0
9,14,129,12,4,3,0.977272727273,0.75,0.999927520752,0.0
10,14,129,9,7,3,0.977272727273,0.5625,1.00016593933,0.0
1,17,110,17,0,23,0.827067669173,1.0,0.999927520752,0.0
2,17,117,16,1,15,0.886363636364,0.941176470588,2.00009346008,0.0
3,17,130,8,9,2,0.984848484848,0.470588235294,0.999927520752,0.0
4,17,120,13,3,12,0.909090909091,0.8125,0.999927520752,0.0
5,17,129,13,3,3,0.977272727273,0.8125,1.00016593933,0.0
6,17,130,11,5,2,0.984848484848,0.6875,0.999927520752,0.0
7,17,127,15,1,5,0.962121212121,0.9375,0.999927520752,0.0
8,17,117,16,0,15,0.886363636364,1.0,2.00009346008,0.0
9,17,129,12,4,3,0.977272727273,0.75,1.00016593933,0.0
10,17,129,9,7,3,0.977272727273,0.5625,1.9998550415,0.0
