Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,119,16,1,14,0.894736842105,0.941176470588,16.9999599457,1.00016593933
2,5,120,13,4,12,0.909090909091,0.764705882353,16.0000324249,2.00009346008
3,5,114,15,2,18,0.863636363636,0.882352941176,16.9999599457,0.999927520752
4,5,113,13,3,19,0.856060606061,0.8125,16.0000324249,1.9998550415
5,5,121,14,2,11,0.916666666667,0.875,16.0000324249,2.00009346008
6,5,120,15,1,12,0.909090909091,0.9375,16.9999599457,0.999927520752
7,5,125,15,1,7,0.94696969697,0.9375,16.0000324249,2.00009346008
8,5,121,14,2,11,0.916666666667,0.875,16.9999599457,1.00016593933
9,5,120,14,2,12,0.909090909091,0.875,16.9999599457,1.00016593933
10,5,111,15,1,21,0.840909090909,0.9375,16.0000324249,2.00009346008
1,8,119,16,1,14,0.894736842105,0.941176470588,16.0000324249,2.00009346008
2,8,120,13,4,12,0.909090909091,0.764705882353,16.0000324249,1.00016593933
3,8,114,15,2,18,0.863636363636,0.882352941176,16.0000324249,2.00009346008
4,8,113,13,3,19,0.856060606061,0.8125,16.9999599457,1.00016593933
5,8,121,14,2,11,0.916666666667,0.875,16.9999599457,0.999927520752
6,8,120,15,1,12,0.909090909091,0.9375,16.9999599457,1.00016593933
7,8,125,15,1,7,0.94696969697,0.9375,16.9999599457,2.00009346008
8,8,121,14,2,11,0.916666666667,0.875,16.0000324249,1.9998550415
9,8,120,14,2,12,0.909090909091,0.875,16.0000324249,2.00009346008
10,8,111,15,1,21,0.840909090909,0.9375,16.9999599457,0.999927520752
1,11,119,16,1,14,0.894736842105,0.941176470588,18.000125885,0.999927520752
2,11,120,13,4,12,0.909090909091,0.764705882353,16.0000324249,1.00016593933
3,11,114,15,2,18,0.863636363636,0.882352941176,16.9999599457,1.00016593933
4,11,113,13,3,19,0.856060606061,0.8125,16.0000324249,2.00009346008
5,11,121,14,2,11,0.916666666667,0.875,16.9999599457,1.00016593933
6,11,120,15,1,12,0.909090909091,0.9375,16.9999599457,2.00009346008
7,11,125,15,1,7,0.94696969697,0.9375,16.9999599457,1.9998550415
8,11,121,14,2,11,0.916666666667,0.875,17.0001983643,0.999927520752
9,11,120,14,2,12,0.909090909091,0.875,16.9999599457,1.00016593933
10,11,111,15,1,21,0.840909090909,0.9375,16.9999599457,1.00016593933
1,14,119,16,1,14,0.894736842105,0.941176470588,16.0000324249,1.9998550415
2,14,120,13,4,12,0.909090909091,0.764705882353,16.0000324249,1.9998550415
3,14,114,15,2,18,0.863636363636,0.882352941176,17.0001983643,0.999927520752
4,14,113,13,3,19,0.856060606061,0.8125,16.9999599457,1.9998550415
5,14,121,14,2,11,0.916666666667,0.875,16.0000324249,2.00009346008
6,14,120,15,1,12,0.909090909091,0.9375,16.9999599457,1.00016593933
7,14,125,15,1,7,0.94696969697,0.9375,16.9999599457,2.00009346008
8,14,121,14,2,11,0.916666666667,0.875,16.0000324249,1.9998550415
9,14,120,14,2,12,0.909090909091,0.875,16.9999599457,0.999927520752
10,14,111,15,1,21,0.840909090909,0.9375,16.9999599457,0.999927520752
1,17,119,16,1,14,0.894736842105,0.941176470588,16.0000324249,1.9998550415
2,17,120,13,4,12,0.909090909091,0.764705882353,16.0000324249,0.999927520752
3,17,114,15,2,18,0.863636363636,0.882352941176,16.9999599457,1.9998550415
4,17,113,13,3,19,0.856060606061,0.8125,16.9999599457,2.00009346008
5,17,121,14,2,11,0.916666666667,0.875,16.9999599457,0.999927520752
6,17,120,15,1,12,0.909090909091,0.9375,19.0000534058,1.9998550415
7,17,125,15,1,7,0.94696969697,0.9375,16.9999599457,2.00009346008
8,17,121,14,2,11,0.916666666667,0.875,16.9999599457,2.00009346008
9,17,120,14,2,12,0.909090909091,0.875,16.9999599457,1.00016593933
10,17,111,15,1,21,0.840909090909,0.9375,16.0000324249,2.00009346008
